Organization Name,CrunchBase URL,Last Funding Date,Total Funding Amount,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Website,Estimated Revenue Range,Top 5 Investors,Lead Investors,Twitter,LinkedIn,Number of Employees,Last Funding Amount,Founded Date
Verastem Oncology,https://www.crunchbase.com/organization/verastem,"Nov 14, 2025","$626,600,000",Not Started,"Biopharma, Biotechnology, Pharmaceutical","Needham, Massachusetts, United States",Verastem is a biopharmaceutical company developing new medicines to improve the lives of patients with RAS/MAPK pathway-driven cancers.,"25,121",https://www.verastem.com/,$1M to $10M,"Bessemer Venture Partners, RTW Investments, OrbiMed, Hercules Capital, Longwood Fund","Advanced Technology Ventures, Astellas Venture Management, Biotechnology Value Fund, Longwood Fund, Oberland Capital, Oxford Finance LLC, RTW Investments",https://x.com/VerastemOncolog,,51-100,"$90,000,000",2010
OneAZ Credit Union,https://www.crunchbase.com/organization/oneaz-credit-union,"Nov 14, 2025","$65,000,000",Not Started,"Banking, Financial Services","Phoenix, Arizona, United States","OneAZ Credit Union offers financial services & competitive rates with a community focus in Phoenix, Flagstaff, Prescott, Tucson and beyond.","40,036",https://www.oneazcu.com/,$100M to $500M,—,—,https://x.com/OneAZCU?_ga=2.245179205.1782555160.1604471747-428485464.1604471747,https://www.linkedin.com/company/oneazcu/,501-1000,"$65,000,000",1951
LIFEPOWR,https://www.crunchbase.com/organization/lifepowr,"Nov 14, 2025","€5,650,000",Not Started,"Energy, Renewable Energy, Solar","Antwerp, Antwerpen, Belgium",FlexiO is based on highly advanced mathematical models and continuously determines how your system can be used optimally.,"44,070",http://lifepowr.co/,Less than $1M,"Noshaq, SPDG, ROM InWest","Noshaq, SPDG",https://x.com/lifepowr,https://www.linkedin.com/company/lifepowr,11-50,"€5,650,000","Jun 18, 2015"
Mauna Kea Technologies,https://www.crunchbase.com/organization/mauna-kea,"Nov 14, 2025","$76,104,595",Not Started,"Biotechnology, Medical, Medical Device","Paris, Ile-de-France, France","Mauna Kea Technologies specializes in designing, developing, and selling optical biopsy devices and tools.","49,750",http://www.maunakeatech.com/en-gb,$10M to $50M,"Seventure Partners, Johnson & Johnson Innovation, Telix Pharmaceuticals, Armistice Capital, Vester Finance","IPF Partners, Johnson & Johnson Innovation, Psilos Group, Telix Pharmaceuticals, Vester Finance",https://x.com/maunakeatech,https://www.linkedin.com/company/mauna-kea-technologies,101-250,"€6,100,000",2000
Rubis Energie,https://www.crunchbase.com/organization/rubis-energie,"Nov 14, 2025","€1,100,000,000",Not Started,"Energy, Mineral, Oil and Gas","Puteaux, Ile-de-France, France",Rubis Energie is an oil and energy company that produces and distributes energy products and bitumen.,"59,697",https://www.rubisenergie.com/,$1M to $10M,—,—,,https://www.linkedin.com/company/rubis-energie,1001-5000,"€1,100,000,000",1994
EnaChip,https://www.crunchbase.com/organization/enachip,"Nov 14, 2025","$10,674,999",Not Started,"Consumer Electronics, Industrial, Semiconductor","Middlesex, New Jersey, United States",EnaChip is a semiconductor microdevice company focused on the development of micro-magnetic components and devices.,"72,013",http://enachip.com/,$1M to $10M,"Commission on Science, Innovation and Technology","Commission on Science, Innovation and Technology",https://x.com/chip_ena,https://www.linkedin.com/company/enachip,1-10,"$3,499,999",2016
Liberty Science Center,https://www.crunchbase.com/organization/liberty-science-center,"Nov 14, 2025","$39,800,000",Not Started,"Education, Innovation Management, Knowledge Management","Jersey City, New Jersey, United States",Liberty Science Center is a non-profit organization dedicated to engaging students of all ages.,"73,811",http://lsc.org/,$10M to $50M,NJEDA,NJEDA,https://x.com/libertyscictr,https://www.linkedin.com/company/liberty-science-center,251-500,"$39,800,000",1993
NamelessCPG,https://www.crunchbase.com/organization/namelesscpg,"Nov 14, 2025","$17,154,942",Not Started,"Financial Services, Venture Capital","Austin, Texas, United States",NamelessCPG mission is to forge a pioneering path in the CPG industry through a strategic roll-up and focused verticals that unite.,"79,923",https://www.namelesscpg.com/,—,—,—,,https://www.linkedin.com/company/namelesscpg,1-10,"$11,454,942",2023
Ashcroft Developments,https://www.crunchbase.com/organization/ashcroft-developments,"Nov 14, 2025","€21,000,000",Not Started,"Construction, Property Development, Web Design","Dublin, Dublin, Ireland",Ashcroft Developments is a property developer focused on building well-designed and quality homes.,"91,459",https://ashcroftdevelopments.com/,—,Bank of Ireland,Bank of Ireland,,https://www.linkedin.com/company/ashcroft-property-development-ltd/,11-50,"€21,000,000",2000
Nemysis,https://www.crunchbase.com/organization/nemysis,"Nov 14, 2025","€6,150,000",Not Started,"Biotechnology, Market Research, Pharmaceutical","Dublin, Dublin, Ireland",A start-up tackling iron deficiency/anemia and gluten intolerance.,"92,016",http://nemysisltd.com/,$1M to $10M,"European Innovation Council, Avia Pharma, Kolinpharma","Avia Pharma, European Innovation Council, Kolinpharma",,https://www.linkedin.com/company/nemysis-ltd/,1-10,—,2015
Angiex,https://www.crunchbase.com/organization/angiex,"Nov 14, 2025","$61,000,000",Not Started,"Biotechnology, Health Care, Therapeutics","Cambridge, Massachusetts, United States",Angiex was founded by world-class scientists to develop vascular-targeted biotherapeutics.,"92,471",http://angiex.com/,Less than $1M,"Presight Capital, Thiel Capital, MassChallenge","Presight Capital, Thiel Capital",https://x.com/angiexinc,https://www.linkedin.com/company/10535227/,11-50,"$31,000,000",2015
Karpaty Mineral Water,https://www.crunchbase.com/organization/karpaty-mineral-water,"Nov 14, 2025","€11,000,000",Not Started,"Food and Beverage, Manufacturing, Water","Lviv, L'vivs'ka Oblast', Ukraine",Karpaty Mineral Water is manufacture of water and softdrinks.,"99,323",https://kmw.com.ua/,—,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,,,—,"€11,000,000",1996
Eccleston Homes,https://www.crunchbase.com/organization/eccleston-homes,"Nov 14, 2025","£10,300,000",Not Started,"Construction, Home Renovation","Warrington, Warrington, United Kingdom","Eccleston Homes is a construction company that develops, builds, and renovates energy-efficient homes.","108,954",https://www.ecclestonhomes.co.uk/,$1M to $10M,Paragon Bank,Paragon Bank,https://x.com/EcclestonHomes,https://www.linkedin.com/company/eccleston-homes-limited/,11-50,"£10,300,000",2011
Crossject,https://www.crunchbase.com/organization/crossject,"Nov 14, 2025","€32,550,000",Not Started,Manufacturing,"Dijon, Bourgogne, France",Crossject specializes in manufacturing and marketing needleless drug self-injection.,"150,046",https://www.crossject.com/en,Less than $1M,"France 2030, Heights Capital Management, Vatel Capital, Gemmes Venture","France 2030, Heights Capital Management, Vatel Capital",,https://www.linkedin.com/company/crossject,51-100,"€5,000,000",2001
Solar,https://www.crunchbase.com/organization/solar-f62c,"Nov 14, 2025","DKK123,386,000",Not Started,"Electrical Distribution, Energy, Energy Management","Vejen, Syddanmark, Denmark","Solar is a sourcing and services company that offers electrical, heating, plumbing, ventilation, climate, and energy solutions.","178,217",https://www.solar.eu/,$1B to $10B,—,—,,https://www.linkedin.com/company/solar-as,1001-5000,"DKK123,386,000",1919
Harbinger,https://www.crunchbase.com/organization/harbinger-6b7e,"Nov 13, 2025","$357,700,000",Not Started,"Automotive, Electric Vehicle, Manufacturing","Garden Grove, California, United States",Harbinger is a commercial electric vehicle company that focuses on chassis architecture design.,448,https://harbingermotors.com/,$50M to $100M,"Tiger Global Management, FedEx, Ridgeline, Greycroft, Ironspring Ventures","Capricorn Investment Group, FedEx, Greycroft, Leitmotif, Ridgeline, Schematic Ventures, TechNexus Venture Collaborative, Thor Industries, Tiger Global Management",https://x.com/harbingermotors,https://www.linkedin.com/company/harbingermotors,251-500,"$160,000,000",Jul 2021
Clairity,https://www.crunchbase.com/organization/clairity-inc,"Nov 13, 2025","$49,666,685",Not Started,"Artificial Intelligence (AI), Health Care, Machine Learning, Software","Austin, Texas, United States",Clairity provides an AI-powered precision health platform focused on predicting future disease risk from routine medical imaging.,528,https://clairity.com/,—,"Sante Ventures, Breast Cancer Research Foundation, ACE Global Equity","ACE Global Equity, Sante Ventures",https://x.com/ClairityAI,https://www.linkedin.com/company/clairity-inc,11-50,"$43,000,000",2020
Alembic,https://www.crunchbase.com/organization/alembic-6007,"Nov 13, 2025","$273,407,842",Not Started,"Big Data, Business Intelligence, Marketing, Predictive Analytics, SaaS","San Francisco, California, United States",Alembic is a MarTech startup that develops digital marketing tools and provides insights to help companies' marketing teams.,845,https://getalembic.com/,$1M to $10M,"Friends & Family Capital, Liquid 2 Ventures, Ridge Ventures, Village Global, Prysm Capital","Accenture, KB Partners, OCA Ventures, Prysm Capital, WndrCo",https://x.com/getalembic,https://www.linkedin.com/company/getalembic,11-50,"$145,000,000","Nov 1, 2018"
Exowatt,https://www.crunchbase.com/organization/exowatt,"Nov 13, 2025","$140,000,000",Not Started,"Artificial Intelligence (AI), Data Center, Energy, Energy Storage, Renewable Energy","Miami, Florida, United States",Powering AI with 24-hour Dispatchable Solar,"1,049",http://exowatt.com/,—,"Andreessen Horowitz, Thrive Capital, Felicis, StepStone Group, a16z crypto","8090 Industries, Felicis, HSBC Innovation Banking, MVP Ventures",https://x.com/exowattenergy,https://www.linkedin.com/company/exowatt,51-100,"$50,000,000",2023
Comcast,https://www.crunchbase.com/organization/comcast,"Nov 13, 2025","$4,917,010,772",Not Started,"Internet, Telecommunications, TV, Video, Web Hosting","Philadelphia, Pennsylvania, United States","Comcast is a media and technology company that provides broadband internet, mobile services, and entertainment platforms.","2,093",https://corporate.comcast.com/,$10B+,"Trian Fund Management, Massachussetts Broadband Institute, California Public Utilities Commission, Maine Connectivity Authority, Connect Maryland","California Public Utilities Commission, Connect Maryland, Maine Connectivity Authority, Massachussetts Broadband Institute, Trian Fund Management",https://x.com/comcast,https://www.linkedin.com/company/comcast,10001+,"$3,200,000","Jun 28, 1963"
Maybern,https://www.crunchbase.com/organization/maybern,"Nov 13, 2025","$89,942,406",Not Started,"Finance, Financial Services, FinTech, Real Estate","New York, New York, United States",Maybern is a fintech company that focuses on transforming fund operations for private capital markets.,"2,100",https://maybern.com/,$1M to $10M,"Primary Venture Partners, Battery Ventures, Friends & Family Capital, Human Capital, Camber Creek",Battery Ventures,,https://www.linkedin.com/company/maybern,51-100,"$50,000,000","Oct 20, 2020"
Chaos,https://www.crunchbase.com/organization/chaos-industries,"Nov 13, 2025","$1,000,000,000",Not Started,"Aerospace, Government, Military, National Security","Los Angeles, California, United States","Chaos is a defense technology company that develops advanced sensing, detection, and communication technologies for the military sectors.","3,183",https://chaosinc.com/,—,"Valor Equity Partners, Accel, 8VC, Alpha Wave Global, StepStone Group","8VC, Accel, New Enterprise Associates, Valor Equity Partners",https://x.com/ChaosDefense,https://www.linkedin.com/company/chaosindustries,101-250,"$510,000,000",Sep 2022
Origin Materials,https://www.crunchbase.com/organization/origin-materials,"Nov 13, 2025","$215,000,000",Not Started,"Advanced Materials, Chemical, Manufacturing","West Sacramento, California, United States",Origin Materials is a carbon negative materials company that develops technology turning the carbon found in biomass into useful materials.,"3,524",http://www.originmaterials.com/,$50M to $100M,"Apollo, DANONE, PepsiCo, Senator Investment Group, BioMADE","BioMADE, Sylebra Capital",https://x.com/originmaterials,https://www.linkedin.com/company/origin-materials,101-250,"$15,000,000",2008
Beacon Biosignals,https://www.crunchbase.com/organization/beacon-biosignals,"Nov 13, 2025","$116,000,000",Not Started,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Medical Device","Boston, Massachusetts, United States",Beacon Biosignals is a neurotechnology company that brings precision neuroscience into clinical trials and treatments.,"3,716",http://beacon.bio/,$1M to $10M,"General Catalyst, Alumni Ventures, Catalio Capital Management, S32, Takeda","Catalio Capital Management, General Catalyst, Google Ventures, Innoviva, Nexus NeuroTech, S32, Takeda",https://x.com/biosignals,https://www.linkedin.com/company/beacon-biosignals,51-100,"$86,000,000",2019
Vida,https://www.crunchbase.com/organization/vida-9a6d,"Nov 13, 2025","$9,500,000",Not Started,"Artificial Intelligence (AI), Collaboration, Information Technology, Messaging, Telecommunications","Austin, Texas, United States","AI conversational voice and messaging agents for individuals, businesses, and developers.","4,021",https://vida.io/,$1M to $10M,"StillMark, TVP, Concentric, Lightning Ventures, Ten31","StillMark, TVP",https://x.com/vidaislive,https://www.linkedin.com/company/vida-global/,11-50,"$4,000,000",2022
Hexa,https://www.crunchbase.com/organization/efounders,"Nov 13, 2025","$65,031,199",Not Started,"B2B, Blockchain, FinTech, Internet, SaaS, Software, Web3","Paris, Ile-de-France, France","Hexa is home to startup studios eFounders (SaaS), Logic Founders (fintech) and 3founders (web3)","4,269",https://www.hexa.com/,—,"Belfius Bank, Thibaud Elziere, Oleg Tscheltzoff, Crédit Industriel et Commercial, Nicolas Steegmann","Oleg Tscheltzoff, Sopra Steria",https://x.com/hexacc,https://www.linkedin.com/company/hexacc,11-50,—,2011
Virgin Atlantic Airways,https://www.crunchbase.com/organization/virgin-atlantic-airways,"Nov 13, 2025","$2,356,187,349",Not Started,"Aerospace, Air Transportation, Transportation, Travel","Crawley, West Sussex, United Kingdom",Virgin Atlantic Airways is a British airline that serves different destinations worldwide.,"4,539",https://www.virginatlantic.com/,$1B to $10B,"Apollo, Air France KLM, Delta Air Lines","Air France KLM, Apollo, Delta Air Lines",https://x.com/VirginAtlantic,https://www.linkedin.com/company/virgin-atlantic-airways,5001-10000,"$745,000,000",1984
Liminal,https://www.crunchbase.com/organization/liminal-96c3,"Nov 13, 2025","$16,979,990",Not Started,"Artificial Intelligence (AI), Cloud Security, Machine Learning, Network Security","Indianapolis, Indiana, United States",Liminal develops a security platform for regulated enterprises.,"5,047",https://www.liminal.ai/,$1M to $10M,"Draper Associates, Craft Ventures, Fin Capital, High Alpha, Matchstick Ventures",Fin Capital,,https://www.linkedin.com/company/liminal-ai-security/,11-50,"$11,979,990",2023
Nyxoah,https://www.crunchbase.com/organization/nyxoah,"Nov 13, 2025","$287,702,099",Not Started,"Health Care, Medical, Medical Device, Neuroscience","Mont-saint-guibert, Brabant Wallon, Belgium",Nyxoah is a medical device company focused on the development and commercialization of a hypoglossal nerve stimulation (HGNS) therapy.,"5,357",http://nyxoah.com/,$1M to $10M,"European Investment Bank, Gilde Healthcare, ResMed, Cochlear, S.R.I.W.","Cochlear, European Investment Bank, Gilde Healthcare, Viralety Ventures",https://x.com/nyxoah,http://www.linkedin.com/company/nyxoah-sa,101-250,"€45,000,000",2009
GoPro,https://www.crunchbase.com/organization/gopro,"Nov 13, 2025","$340,205,000",Not Started,"Consumer Electronics, Photography, Video, Wearables","San Mateo, California, United States",GoPro is a brand of personal cameras used in extreme action video photography.,"5,476",https://gopro.com/,$500M to $1B,"Riverwood Capital, U.S. Venture Partners, Walden International, Sageview Capital, Farallon Capital Management","Farallon Capital Management, FIH Mobile, Nicholas Woodman, Riverwood Capital",https://x.com/GoPro,http://www.linkedin.com/company/gopro_3,501-1000,"$2,000,000","Jan 1, 2002"
La Rosa Holdings,https://www.crunchbase.com/organization/la-rosa-holdings,"Nov 13, 2025","$1,254,960,000",Not Started,"Commercial Real Estate, Real Estate, Residential","Florida, New York, United States",La Rosa Holdings is a real estate group that offers residential and commercial real estate brokerage services.,"6,318",https://larosaholdings.com/,$50M to $100M,—,—,https://x.com/larosarealty,,11-50,"$1,000,000,000",2004
Netic,https://www.crunchbase.com/organization/netic-b1e2,"Nov 13, 2025","$43,000,000",Not Started,"Artificial Intelligence (AI), Business Process Automation (BPA), Marketing Automation, Service Industry","San Francisco, California, United States","Netic offers an AI-driven platform designed to enhance revenue generation, customer engagement, and growth through intelligent automation.","6,448",https://www.netic.ai/,—,"Founders Fund, Greylock, SV Angel, Elad Gil, Day One Ventures","Founders Fund, Greylock",https://x.com/Netic_AI,https://www.linkedin.com/company/netic-ai,11-50,"$23,000,000",2024
YouWare,https://www.crunchbase.com/organization/youware,"Nov 13, 2025","$50,000,000",Not Started,"Artificial Intelligence (AI), Content Creators, Generative AI, Information Technology","Dover, Delaware, United States","YouWare AI platform enable creators to turn ideas into living, interactive projects.","6,708",https://www.youware.com/,—,"IDG Capital, 5Y Capital","5Y Capital, IDG Capital",,,11-50,"$50,000,000",Mar 2025
Bonside,https://www.crunchbase.com/organization/bonside,"Nov 13, 2025","$104,350,000",Not Started,"Business Development, Finance, Financial Services","Chicago, Illinois, United States",Bonside is a financial services provider that connects businesses with funding opportunities.,"6,834",https://bonside.com/,$1M to $10M,"Nuveen, Everywhere Ventures, TMV, SpringTime Ventures, Floating Point","Floating Point, i80 Group, Kimco Realty, Nuveen",https://x.com/bonsideinc,https://www.linkedin.com/company/bonside/,1-10,"$100,000,000",2020
Gartner,https://www.crunchbase.com/organization/gartner,"Nov 13, 2025","$800,000,000",Not Started,"Business Development, Consulting, Information Technology","Stamford, Connecticut, United States","Gartner provides fact-based consulting services, helping clients use and manage IT to enhance business performance.","7,435",http://www.gartner.com/,$1B to $10B,—,—,https://x.com/Gartner_inc,http://www.linkedin.com/company/gartner,10001+,"$800,000,000","Mar 10, 1979"
CloudX,https://www.crunchbase.com/organization/cloudx-c466,"Nov 13, 2025","$30,150,001",Not Started,"Advertising Platforms, Artificial Intelligence (AI), Information Technology","Aspen, Colorado, United States",CloudX operates as a supply side platform for mobile and AI publishers.,"7,463",https://www.cloudx.io/,—,"DST Global, Eniac Ventures, Addition, Javelin Venture Partners, Breakpoint Capital",Addition,,https://www.linkedin.com/company/cloudxinc/,11-50,"$30,150,001",2025
Anzen,https://www.crunchbase.com/organization/anzen-9b43,"Nov 13, 2025","$33,501,529",Not Started,"Artificial Intelligence (AI), Enterprise Software, InsurTech, Software","San Francisco, California, United States",Anzen provides a digital marketplace and AI‑enabled tools for specialty insurance and executive liability coverage.,"8,197",https://www.anzen.com/,$1M to $10M,"Andreessen Horowitz, Alumni Ventures, Madrona, Shasta Ventures, Sandbox Industries","Andreessen Horowitz, Madrona",https://x.com/go_anzen,https://www.linkedin.com/company/anzen-insurance/,11-50,"$16,000,000",Dec 2020
Flexential,https://www.crunchbase.com/organization/flexential,"Nov 13, 2025","$1,800,000,000",Not Started,"Cyber Security, Information Technology, Infrastructure, IT Infrastructure, Professional Services","Charlotte, North Carolina, United States","Flexential provides IT solutions including integrated colocation, interconnection, cloud, data protection, and professional services.","8,513",https://www.flexential.com/,—,"Hamilton Lane, GI Partners, Morgan Stanley Infrastructure Partners","GI Partners, Hamilton Lane, Morgan Stanley Infrastructure Partners",https://x.com/flexential,https://www.linkedin.com/company/flexential/,501-1000,"$800,000,000",2000
Gopuff,https://www.crunchbase.com/organization/gopuff,"Nov 13, 2025","$3,699,710,000",Not Started,"Delivery Service, E-Commerce, Food Delivery, Mobile Apps","Philadelphia, Pennsylvania, United States",Gopuff is a digital delivery service designed to deliver daily essentials within minutes.,"9,475",http://www.gopuff.com/,$1B to $10B,"Valor Equity Partners, Accel, Headline, Robinhood, Fidelity","Accel, Anthos Capital, D1 Capital Partners, Eldridge Industries, Fidelity, Headline, Robert Iger, SoftBank Vision Fund, Valor Equity Partners",https://x.com/gopuff,https://www.linkedin.com/company/gopuff,5001-10000,"$250,000,000",Nov 2013
Gate Bioscience,https://www.crunchbase.com/organization/gate-bioscience,"Nov 13, 2025","$125,000,000",Not Started,"Biotechnology, Life Science, Nanotechnology","Brisbane, California, United States",Gate Bioscience is a biotechnology company that specializes in a small molecule modality to treat biology’s intractable diseases.,"9,555",https://www.gatebio.com/,$50M to $100M,"Andreessen Horowitz, Eli Lilly, ARCH Venture Partners, Google Ventures, Versant Ventures","Andreessen Horowitz, Forbion Capital Partners, Versant Ventures",,https://www.linkedin.com/company/gatebio,11-50,"$65,000,000",2021
T-Therapeutics,https://www.crunchbase.com/organization/t-therapeutics,"Nov 13, 2025","$91,626,218",Not Started,"Biotechnology, Health Care, Medical","Cambridge, Cambridgeshire, United Kingdom",T-Therapeutics is a next-generation T cell receptor (TCR) company spun off from the University of Cambridge.,"10,532",https://t-therapeutics.com/,—,"Cambridge Innovation Capital, F-Prime, Sofinnova Partners, Tencent, Digitalis Ventures","Cambridge Innovation Capital, Digitalis Ventures, F-Prime, Sofinnova Partners",,https://www.linkedin.com/company/t-therapeutics/,51-100,"$32,000,000",2022
Red Queen Bio,https://www.crunchbase.com/organization/red-queen-bio,"Nov 13, 2025","$15,000,000",Not Started,"Artificial Intelligence (AI), Biotechnology, Medical","Boston, Massachusetts, United States",Red Queen Bio is an AI biosecurity company that develops AI technologies to defend against biological threats.,"10,580",https://www.redqueen.bio/,—,"OpenAI, Fifty Years, Sam Altman, Cerberus Ventures, Cliffs",OpenAI,,https://www.linkedin.com/company/red-queen-bio,11-50,"$15,000,000",2025
Fabric8Labs,https://www.crunchbase.com/organization/fabric8labs,"Nov 13, 2025","$132,095,411",Not Started,"3D Printing, 3D Technology, Manufacturing","La Jolla, California, United States",Fabric8Labs is a machinery company that specializes in metal 3D printing.,"10,817",http://fabric8labs.com/,$1M to $10M,"SE Ventures, New Enterprise Associates, AngelList, TDK Ventures, SK Hynix","imec.xpand, Intel Capital, New Enterprise Associates, Stanley Ventures",,https://www.linkedin.com/company/fabric8labs,51-100,"$55,988,154","Jun 1, 2015"
Ferroelectric Memory Company,https://www.crunchbase.com/organization/ferroelectric-memory-company,"Nov 13, 2025","$141,729,166",Not Started,"Hardware, Information Technology, Semiconductor","Dresden, Sachsen, Germany",Ferroelectric Memory Company solves one of the most important hardware challenges in the age of Internet-of-Things.,"11,297",https://ferroelectric-memory.com/,$1M to $10M,"HTGF (High-Tech Gruenderfonds), Vsquared Ventures, European Innovation Council, Verve Ventures, HV Capital","DeepTech & Climate Fonds, eCAPITAL ENTREPRENEURIAL PARTNERS, EIC Accelerator, European Innovation Council, HTGF (High-Tech Gruenderfonds), HV Capital, imec.xpand, IPCEI ME/CT, M Ventures",,https://www.linkedin.com/company/ferroelectric-memory-company/,11-50,"€77,000,000",2016
MaaT Pharma,https://www.crunchbase.com/organization/maat-pharma,"Nov 13, 2025","€110,700,000",Not Started,"Biotechnology, Health Care","Lyon, Rhone-Alpes, France",MaaT Pharma (Microbiota as a Therapy) is a French biotech start-up.,"11,316",http://maatpharma.com/,$1M to $10M,"European Investment Bank, Bpifrance, Seventure Partners, Invus, Biocodex","Biocodex, European Investment Bank, Government of France, Seventure Partners",https://x.com/MaaT_Pharma,https://www.linkedin.com/company/maat-pharma/,51-100,"€9,100,000","Dec 1, 2014"
Centuri Group,https://www.crunchbase.com/organization/centuri-construction-group-inc,"Nov 13, 2025","$1,347,511,816",Not Started,"Energy, Infrastructure, Real Estate, Renewable Energy","Phoenix, Arizona, United States","Centuri Construction Group, Inc. is a full service energy construction company.","11,717",https://centuri.com/,$1B to $10B,"Aemetis Biogas, Icahn Enterprises, Icahn Partners","Aemetis Biogas, Icahn Enterprises, Icahn Partners",https://x.com/nextcenturi,https://www.linkedin.com/company/centuri-construction-group/,5001-10000,"$235,000,000","Aug 26, 2014"
