Organization Name,Crunchbase Profile Link,Last Funding Date,Total Funding Amount,Stage Track Stages,Industries,Headquarters Location,Description,CB Rank (Company),Website,Estimated Revenue Range,Top 5 Investors,Lead Investors,Twitter URL,LinkedIn URL,Number of Employees,Last Funding Amount,Founded Date
Sierra Space,https://www.crunchbase.com/organization/sierra-space,"Mar 5, 2026","$2,240,000,000",Not Started,"Advanced Materials, Aerospace, Industrial Manufacturing, Space Travel, Transportation","Louisville, Colorado, United States",Sierra Space is a commercial space company that specializes in the development of advanced space technologies and solutions.,145,https://sierraspace.com/,$100M to $500M,"General Atlantic, Coatue, MUFG Bank, AE Industrial Partners, BlackRock Private Equity Partners","Coatue, General Atlantic, Kanematsu Corporation, LuminArx Capital Management LP, Moore Strategic Ventures, MUFG Bank, Tokio Marine & Nichido Fire Insurance Dubai Branch",https://x.com/SierraSpaceCo,https://www.linkedin.com/company/sierraspace,1001-5000,"$550,000,000",2021
Science,https://www.crunchbase.com/organization/science-5003,"Mar 5, 2026","$407,324,984",Not Started,"Biotechnology, Medical, Neuroscience","Alameda, California, United States",Science is a clinical-stage medical technology company that develops neuroengineering systems to address neurological and sensory disorders.,180,https://science.xyz/,—,"Lightspeed Venture Partners, Y Combinator, Khosla Ventures, Quiet Capital, Artis Ventures","Khosla Ventures, Lightspeed Venture Partners",,https://www.linkedin.com/company/sciencecorporation,101-250,"$230,000,000",2021
Origis Energy,https://www.crunchbase.com/organization/origis-energy,"Mar 5, 2026","$5,437,000,000",Not Started,"Clean Energy, Energy, Renewable Energy, Solar","Miami, Florida, United States",Origis Energy develops and operates solar power plants to provide renewable energy and decarbonization solutions.,552,http://www.origisenergy.com/,—,"HSBC, Santander, Deutsche Bank, Antin Infrastructure Partners, Crux","Advantage Capital, Baltisse, CIT Group, Crux, Deutsche Bank, First Citizens Bank, HSBC, JP Morgan, Kohlberg Kravis Roberts & Co., Mitsubishi UFJ Financial Group, MUFG Union Bank, Natixis Corporate & Investment Banking, Nomura, Rabobank, Santander CIB, U.S. Bancorp",https://x.com/origisenergy,https://www.linkedin.com/company/3836282,251-500,"$545,000,000",2008
Levitate,https://www.crunchbase.com/organization/real-magic,"Mar 5, 2026","$71,000,000",Not Started,"Artificial Intelligence (AI), Contact Management, CRM, Email Marketing, InsurTech, SaaS","Raleigh, North Carolina, United States",Levitate develops a relationship marketing platform that provides communication tools and an AI dashboard.,887,https://levitate.ai/,$10M to $50M,"Bull City Venture Partners, Harbert Growth Partners, Triangle Tweener Fund, Northwestern Mutual Future Ventures, Protagonist","Bull City Venture Partners, Harbert Growth Partners, Northwestern Mutual Future Ventures, Tippet Venture Partners",https://x.com/levitateai,https://www.linkedin.com/company/real-magic/,51-100,"$16,000,000","Oct 5, 2017"
Cognito Therapeutics,https://www.crunchbase.com/organization/cognito-therapeutics,"Mar 5, 2026","$321,765,300",Not Started,"Biotechnology, Health Diagnostics, Medical Device, Neuroscience, Therapeutics","Cambridge, Massachusetts, United States",Cognito Therapeutics develops neurotechnology therapies to treat neurodegenerative diseases by stimulating specific brain activity patterns.,"1,224",https://www.cognitotx.com/,$1M to $10M,"Apollo Health Ventures, IAG Capital Partners, OpAmp Capital, Morningside, FoundersX Ventures","FoundersX Ventures, IAG Capital Partners, Morningside, Starbloom Capital",https://x.com/cognitotx,https://www.linkedin.com/company/cognito-therapeutics-inc.,11-50,"$105,000,000",2016
Greater Good Health,https://www.crunchbase.com/organization/greater-good-health,"Mar 5, 2026","$53,500,000",Not Started,"Elder Care, Health Care, Medical, Primary and Urgent Care, Wellness","Los Angeles, California, United States","Redefining care for the greater good—expanding access to high-quality, value-based healthcare for all.","1,324",https://www.greatergoodhealth.com/,$10M to $50M,"Flare Capital Partners, LRVHealth, Optum Ventures, Health Velocity Capital, HSBC Innovation Banking","Allumia Ventures, Flare Capital Partners, Granite Financial Holdings, HSBC Innovation Banking, LRVHealth, Optum Ventures",,https://www.linkedin.com/company/greater-good-health,101-250,"$12,500,000",2021
Equinix,https://www.crunchbase.com/organization/equinix,"Mar 5, 2026","$5,770,219,117",Not Started,"Cloud Data Services, Data Center, Information Technology, Infrastructure, Internet, Software","Redwood City, California, United States","Equinix is an internet company that provides data center services for companies, businesses, and organizations.","1,351",http://www.equinix.com/,$1B to $10B,"Microsoft, The Carlyle Group, Cisco, Benchmark, Crosslink Capital","Crosslink Capital, Elliott Management Corp.",https://x.com/equinix,http://www.linkedin.com/company/equinix,10001+,"$1,500,000,000",1998
Atlas Data Storage,https://www.crunchbase.com/organization/atlas-data-storage,"Mar 5, 2026","$155,000,000",Not Started,"Database, Data Management, Information Technology","South San Francisco, California, United States",Atlas Data Storage is an information technology company focused on data storage solutions.,"1,388",https://www.atlasds.com/,—,"ARCH Venture Partners, imec, Deerfield Management, Bezos Expeditions, IQT",imec,https://x.com/AtlasDS,https://www.linkedin.com/company/atlas-data-storage,11-50,—,2025
Core Scientific,https://www.crunchbase.com/organization/core-scientific,"Mar 5, 2026","$2,057,900,000",Not Started,"Artificial Intelligence (AI), Blockchain, Data Center, Data Mining, Software","Dover, Delaware, United States",Core Scientific is an AI infrastructure company that operates blockchain data centers and manufactures digital currency mining servers.,"1,565",https://corescientific.com/,$500M to $1B,"Morgan Stanley, B. Riley Financial, Bitmain, Celsius Network, Obsidian Investment Partners","Bitmain, B. Riley Financial, Celsius Network, Morgan Stanley",https://x.com/Core_Scientific,https://www.linkedin.com/company/corescientific,251-500,"$500,000,000",2017
Cologix,https://www.crunchbase.com/organization/cologix-holdings,"Mar 5, 2026","$2,700,815,804",Not Started,"Content, Data Center, Financial Services","Denver, Colorado, United States","Cologix provides network neutral interconnection and colocation services for carrier, media, financial services, and enterprise customers.","1,860",http://www.cologix.com/,—,La Caisse,La Caisse,https://x.com/Cologix4Colo,https://www.linkedin.com/company/cologix-inc,251-500,"CA$240,000,000","Dec 1, 2010"
Portside,https://www.crunchbase.com/organization/portside-inc,"Mar 5, 2026","$67,273,880",Not Started,"Aerospace, Air Transportation, Analytics, Software, Transportation","San Francisco, California, United States","Portside is an aircraft data, reporting, and analytics platform for individual and corporate plane owners.","2,091",https://portside.co/,$10M to $50M,"Vista Equity Partners, Insight Partners, Tiger Global Management, Builders VC, Quiet Capital","Insight Partners, Tar Heel Capital Pathfinder, Tiger Global Management, Vista Equity Partners",,https://www.linkedin.com/company/portside-co,101-250,—,"Sep 1, 2017"
Kvantify,https://www.crunchbase.com/organization/kvantify,"Mar 5, 2026","$33,254,092",Not Started,"Artificial Intelligence (AI), Cloud Computing, FinTech, Information Technology, Life Science, Machine Learning, Quantum Computing, Software","Copenhagen, Hovedstaden, Denmark",Kvantify provides Quantum computing and HPC software solutions that address hard computational challenges.,"2,295",https://www.kvantify.dk/,$10M to $50M,"European Innovation Council, Delphinus Venture Capital, Redstone.VC, Export and Investment Fund, Dreamcraft Ventures","2degrees, Dreamcraft Ventures, Export and Investment Fund, Lundbeckfonden Ventures",,https://www.linkedin.com/company/kvantify,51-100,"€7,000,000",2022
Lio,https://www.crunchbase.com/organization/ask-lio-ai,"Mar 5, 2026","$30,000,000",Not Started,"Artificial Intelligence (AI), Enterprise Software, Procurement, SaaS","San Francisco, California, United States",Lio support teams in organizing operational data and managing business workflows through customizable digital registers.,"2,419",https://lio.ai/,—,"Andreessen Horowitz, Y Combinator, SV Angel, Pioneer Fund, SAV (Scale Asia Ventures)",Andreessen Horowitz,,https://www.linkedin.com/company/lio-ai,101-250,"$30,000,000",2023
EverFleet,https://www.crunchbase.com/organization/spring-free-ev,"Mar 5, 2026","$54,200,000",Not Started,"Electric Vehicle, Financial Services, FinTech, Sustainability","San Francisco, California, United States",EverFleet is the first lending platform designed specifically for fleet owners and drivers.,"2,503",https://everfleet.com/,$1M to $10M,"The Afterglow Climate Justice Fund, Gaingels, Spring Lane Capital, Pitbull Ventures, Climate Capital","Spring Lane Capital, The Afterglow Climate Justice Fund",,https://www.linkedin.com/company/springfreeev,11-50,"$3,000,000",2021
Zeno,https://www.crunchbase.com/organization/zeno-f1f3,"Mar 5, 2026","$34,500,000",Not Started,"Automotive, CleanTech, Green Consumer Goods, Sustainability","Bozeman, Montana, United States",Zeno is a climate conscious motor company that offers eco-friendly motorcycles.,"2,505",https://zeno.earth/,$1M to $10M,"Alumni Ventures, Toyota Ventures, Lowercarbon Capital, Congruent Ventures, AdvantEdge Founders","Alumni Ventures, Camber Road Partners, Congruent Ventures, Lowercarbon Capital, Toyota Ventures, Trifecta Capital",,https://www.linkedin.com/company/zenoearth/,11-50,"$20,500,000",2022
Minnesota Medical Technologies,https://www.crunchbase.com/organization/minnesota-medical-technologies,"Mar 5, 2026","$38,756,654",Not Started,"Health Care, Manufacturing, Medical, Personal Health","Minnesota City, Minnesota, United States",Minnesota Medical develops devices for fecal incontinence care applications.,"2,620",https://mnmedtech.us/,$1M to $10M,"Southeast Minnesota Capital Partners, HM Venture Partners","HM Venture Partners, Southeast Minnesota Capital Partners",,https://www.linkedin.com/company/minnesota-medical-technologies,1-10,"$20,600,000","Jan 1, 2015"
Humana,https://www.crunchbase.com/organization/humana,"Mar 5, 2026","$14,074,000,000",Not Started,"Health Care, Health Insurance, Insurance, Venture Capital","Louisville, Kentucky, United States","Humana is a health insurance provider for individuals, families, and businesses.","2,746",http://www.humana.com/,$10B+,"Goldman Sachs, Morgan Stanley, U.S. Bancorp, Citigroup Global Markets, Wells Fargo Securities",—,https://x.com/humana,http://www.linkedin.com/company/humana,10001+,"$1,000,000,000",1964
Atavistik Bio,https://www.crunchbase.com/organization/atavistik-bio,"Mar 5, 2026","$260,000,000",Not Started,"Biotechnology, Health Care, Life Science, Therapeutics","Cambridge, Massachusetts, United States",Atavistik Bio is a biotechnology company that develops precision allosteric small molecules aimed at treating metabolic diseases and cancer.,"2,902",https://atavistikbio.com/,$1M to $10M,"RA Capital Management, Lux Capital, The Column Group, Nextech Invest, Regeneron Ventures","Nextech Invest, RA Capital Management, The Column Group",https://x.com/AtavistikBio,https://www.linkedin.com/company/atavistik-bio,11-50,"$40,000,000",2021
Ingram Micro,https://www.crunchbase.com/organization/ingram-micro,"Mar 5, 2026","$200,000,000",Not Started,"Consulting, Electronics, Information Services, Information Technology, Logistics, Software, Supply Chain Management, VoIP","Irvine, California, United States",Ingram Micro is a provider of technology products and supply chain management services.,"3,029",https://corp.ingrammicro.com/,$10B+,—,—,https://x.com/IngramMicroInc,https://www.linkedin.com/company/ingram-micro/,10001+,"$200,000,000",1979
TaxDown,https://www.crunchbase.com/organization/taxdown,"Mar 5, 2026","€27,600,000",Not Started,"FinTech, Software","Madrid, Madrid, Spain",TaxDown is a Spanish startup that eases the income tax return filing process for taxpayers.,"3,373",https://www.taxdown.es/,$1M to $10M,"Base10 Partners, FJ Labs, JME Ventures, Bonsai Partners, 4Founders Capital","4Founders Capital, Base10 Partners, BBVA Spark, Bonsai Partners, JME Ventures, PwC Tax & Legal Tech Springboard",,https://www.linkedin.com/company/13005741,101-250,"€4,000,000","Jan 15, 2019"
Evervault,https://www.crunchbase.com/organization/evervault,"Mar 5, 2026","$44,400,000",Not Started,"Developer Tools, Information Technology, Internet, Privacy, Security, Software","Dublin, Dublin, Ireland",Evervault builds encryption infrastructure for developers.,"3,473",https://evervault.com/,$1M to $10M,"Sequoia Capital, Index Ventures, Kleiner Perkins, SV Angel, Ribbit Capital","Index Ventures, Ribbit Capital, Sequoia Capital",https://x.com/evervault,https://www.linkedin.com/company/evervault/,11-50,"$25,000,000","Aug 1, 2019"
Swarm Oncology,https://www.crunchbase.com/organization/swarm-oncology,"Mar 5, 2026","£6,100,000",Not Started,"Biotechnology, Life Science, Therapeutics","London, England, United Kingdom",Swarm Oncology is a biotechnology company that develops novel T cell therapies for cancer patients.,"7,125",https://swarmoncology.bio/,—,Delin Ventures,Delin Ventures,,https://www.linkedin.com/company/swarmoncology/,1-10,"£6,100,000",2022
Arzneimittelwerk Warngau,https://www.crunchbase.com/organization/amw-gmbh,"Mar 5, 2026","€38,000,000",Not Started,"Emergency Medicine, Health Care, Health Diagnostics, Medical, Medical Device, Pharmaceutical","Warngau, Bayern, Germany",Arzneimittelwerk Warngau develops and markets drug delivery systems.,"7,772",https://amw-pharmaceuticals.com/,$10M to $50M,"Ren Life Sciences, AMW Evolution, European Investment Bank, KfW, bmp Ventures","Bayern Kapital, European Investment Bank, SHS Capital",,https://www.linkedin.com/company/amw-gmbh,51-100,—,2008
VALIDIO,https://www.crunchbase.com/organization/validio,"Mar 5, 2026","$46,409,278",Not Started,"Big Data, Machine Learning, Software","Stockholm, Stockholms Lan, Sweden","VALIDIO offers a next-generation data platform for data lakes, warehouses, and real-time streams.","9,609",http://www.validio.io/,—,"Lakestar, Plural, J12, DHS Venture Partners, Emil Eifrem","J12, Lakestar, Plural",https://x.com/Validio_Data,https://www.linkedin.com/company/validio-ab/,11-50,"$30,000,000",2019
UniverCell Holding GmbH,https://www.crunchbase.com/organization/univercell-holding-gmbh,"Mar 5, 2026","€30,000,000",Not Started,"Battery, Energy","Flintbek, Schleswig-Holstein, Germany","With everything we do, we aim to harness sustainable energy in order to energize the future.","10,278",http://univercell.group/,—,"European Innovation Council Fund, EIC Accelerator, DeepTech & Climate Fonds, IKA, Wika","DeepTech & Climate Fonds, EIC Accelerator, IKA, Wika",,https://www.linkedin.com/company/19176792/,51-100,"€30,000,000","Apr 12, 2019"
Plant Path,https://www.crunchbase.com/organization/the-plant-pathways,"Mar 5, 2026","$27,655,000",Not Started,"Agriculture, Biotechnology, Farming","Saint Louis Park, Minnesota, United States",Plant Path specializes in developing food and medical plant varieties to improve human health through nutrition.,"10,586",https://plantpathco.com/,$1M to $10M,—,—,,https://www.linkedin.com/company/plantpathco/,11-50,"$3,655,000",2019
GoodShape,https://www.crunchbase.com/organization/goodshape,"Mar 5, 2026","£8,000,000",Not Started,Health Care,"Watford, Hertford, United Kingdom",GoodShape provides services for the health and wellbeing of organizations' employees.,"13,852",https://www.goodshape.com/,—,Growth Lending,Growth Lending,,https://www.linkedin.com/company/goodshapeworks,—,"£8,000,000",2004
Kinder Institute for Urban Research,https://www.crunchbase.com/organization/kinder-institute-for-urban-research,"Mar 5, 2026","$55,000,000",Not Started,"Consulting, Education, Information Services","Houston, Texas, United States","Kinder Institute for Urban Research offers data solutions to urban issues, education, governance, transportation, and demographics.","17,163",https://kinder.rice.edu/,—,Kinder Foundation,Kinder Foundation,https://x.com/RiceKinderInst,https://www.linkedin.com/company/kinderinstituteforurbanresearch,11-50,"$55,000,000",2010
NexCure,https://www.crunchbase.com/organization/nexcure,"Mar 5, 2026","$19,000,000",Not Started,Therapeutics,"Boston, Massachusetts, United States","NexCure offers clinically intense therapies in outpatient, community settings, and other cutting-edge treatments.","18,739",https://nexcure.com/,—,"RA Capital Management, Oncology Ventures, Cencora Ventures",RA Capital Management,,,—,"$19,000,000",—
MedinCell,https://www.crunchbase.com/organization/medincell,"Mar 5, 2026","$260,752,417",Not Started,Pharmaceutical,"Jacou, Languedoc-Roussillon, France",MedinCell is an injectable slow-release drug specialist company.,"19,690",https://www.medincell.com/,$10M to $50M,"European Investment Bank, Bpifrance, Bill & Melinda Gates Foundation, Wellington Management, Seventure Partners","Bill & Melinda Gates Foundation, Bpifrance, Crédit Mutuel Equity, European Investment Bank, French Recovery Plan, Unitaid",https://x.com/MedinCell,https://www.linkedin.com/company/medincell/about/,101-250,"€48,000,000",2002
Cytodyn,https://www.crunchbase.com/organization/cytodyn,"Mar 5, 2026","$136,982,325",Not Started,"Biotechnology, Pharmaceutical, Therapeutics","Vancouver, Washington, United States",CytoDyn is a biotechnology company that focuses on the development of new therapies to combat infections with immune deficiency viruses.,"33,104",http://cytodyn.com/,$1M to $10M,Yorkville Advisors,Yorkville Advisors,https://x.com/cytodyn,https://www.linkedin.com/company/cytodyn-inc/,11-50,"$17,500,000",2002
World Food Programme,https://www.crunchbase.com/organization/world-food-programme,"Mar 5, 2026","$116,700,000",Not Started,"Food Processing, Logistics, Non Profit, Nutrition","Rome, Lazio, Italy",The World Food Programme is the food assistance branch of the United Nations and the world's largest humanitarian organization,"35,299",http://www.wfp.org/,$10B+,"U.S. Department of Agriculture, Japan - The Government of Japan","Japan - The Government of Japan, U.S. Department of Agriculture",https://x.com/wfp,https://www.linkedin.com/company/world-food-programme,10001+,"$6,700,000","Jan 1, 1961"
Rare Element Resources,https://www.crunchbase.com/organization/rare-element-resources,"Mar 5, 2026","$118,400,000",Not Started,"Mineral, Mining Technology, Precious Metals","Lakewood, Colorado, United States",Rare Element Resources is a Mining and Metals company.,"42,612",http://www.rareelementresources.com/,—,"US Department of Energy, Wyoming Energy Authority, Synchron","Synchron, US Department of Energy, Wyoming Energy Authority",,https://www.linkedin.com/company/rare-element-resources-ltd-ree-,1-10,"$30,900,000",1999
Zia Credit Union,https://www.crunchbase.com/organization/zia-credit-union,"Mar 5, 2026","$10,000,000",Not Started,"Banking, Finance, Financial Services","Los Alamos, New Mexico, United States","Zia Credit Union offers loans, mortgages, credit cards and personal banking solutions.","46,849",https://ziacu.org/,$1M to $10M,—,—,https://x.com/ziacreditunion?lang=en,https://www.linkedin.com/company/zia-credit-union/,101-250,"$10,000,000",1955
Steer Bio,https://www.crunchbase.com/organization/steer-bio,"Mar 5, 2026","$18,200,000",Not Started,"Biopharma, Biotechnology","Houston, Texas, United States",Steer Bio is a biotechnology company that specializes in revitalizing cell-based medicines.,"82,738",https://www.steerbiotx.com/,—,Advanced Research Projects Agency for Health,Advanced Research Projects Agency for Health,,https://www.linkedin.com/company/steer-bio,1-10,"$18,200,000",2026
Eight Sleep,https://www.crunchbase.com/organization/eight-sleep,"Mar 4, 2026","$312,066,621",Not Started,"Consumer Electronics, Health Care, Wellness","New York, New York, United States","Eight Sleep develops connected sleep systems that combine temperature regulation, biometric monitoring, and adjustable bed features.",18,http://eightsleep.com/,$100M to $500M,"General Catalyst, Valor Equity Partners, HSG, Gaingels, 8VC","Founders Fund, HSG, Khosla Ventures, Tether Ventures, Valor Equity Partners",https://x.com/eightsleep,https://www.linkedin.com/company/eight--,101-250,"$50,000,000","Jul 1, 2014"
Decagon,https://www.crunchbase.com/organization/decagon-485e,"Mar 4, 2026","$481,000,000",Not Started,"Artificial Intelligence (AI), Generative AI, Machine Learning, Software","San Francisco, California, United States",Decagon provides a conversational AI platform for automating customer support across multiple channels.,66,https://decagon.ai/,—,"Andreessen Horowitz, Accel, Forerunner, Index Ventures, Bond","Accel, Andreessen Horowitz, Bain Capital Ventures, Coatue, Index Ventures",https://x.com/DecagonAI,https://www.linkedin.com/company/decagon-ai,251-500,—,2023
Applied Digital,https://www.crunchbase.com/organization/applied-blockchain-617a,"Mar 4, 2026","$7,198,831,579",Not Started,"Blockchain, Cryptocurrency, Finance","Dallas, Texas, United States","Applied Digital designs, develops and operates next-generation datacenters across North America to provide digital infrastructure solutions.",119,https://ir.applieddigital.com/,$100M to $500M,"NVIDIA, Macquarie Asset Management, Macquarie Group, Related, Sumitomo Mitsui Banking","Bank of North Dakota, Cornerstone Bank, Macquarie Asset Management, Macquarie Group, NVIDIA, QBN Capital, Related, Sumitomo Mitsui Banking",https://x.com/APLDDigital,https://www.linkedin.com/company/applied-blockchain-inc,101-250,"$2,150,000,000",2001
Create Music Group,https://www.crunchbase.com/organization/create-music-group,"Mar 4, 2026","$615,000,000",Not Started,"Digital Media, Media and Entertainment, Music","Los Angeles, California, United States","Create Music Group is a music services company that provides rights management, royalty collection, and monetization solutions.",181,https://www.createmusicgroup.com/,$100M to $500M,"2 Mile, Ares Management, Flexpoint Ford, Charles Goldstuck",Flexpoint Ford,https://x.com/create__music,https://www.linkedin.com/company/createmusicgroup/,251-500,"$450,000,000",2015
PLD Space,https://www.crunchbase.com/organization/pld-space,"Mar 4, 2026","€302,434,366",Not Started,"Aerospace, Manufacturing, Space Travel","Elche, Comunidad Valenciana, Spain","PLD Space is a space transportation company that designs, builds, tests and operates launch vehicles for suborbital and orbital missions.",298,http://pldspace.com/,$1M to $10M,"Santander, Cofides, Nazca Capital, JME Ventures, Arcano","Aciturri, Arcano, CDTI, Centre for the Development of Industrial Technology (CDTI), Cofides, EBN Banco de Negocios, Instituto de Credito, Mitsubishi Electric, Santander",https://x.com/pld_space,https://www.linkedin.com/company/pld-space,251-500,"€180,000,000","Sep 12, 2011"
Traversal,https://www.crunchbase.com/organization/traversal,"Mar 4, 2026","$53,000,000",Not Started,"Artificial Intelligence (AI), Software, Software Engineering","New York, New York, United States",Traversal is building the AI SRE for the enterprise.,396,https://traversal.cv/,—,"Sequoia Capital, Kleiner Perkins, NFDG Ventures, Amex Ventures, Hanabi Capital","Amex Ventures, Kleiner Perkins, Sequoia Capital",https://x.com/traversal_ai,https://www.linkedin.com/company/traversal-ai/,11-50,"$5,000,000",2023
Oxa,https://www.crunchbase.com/organization/oxbotica-ltd,"Mar 4, 2026","£258,600,000",Not Started,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Insurance, InsurTech, Software","Oxford, Oxfordshire, United Kingdom",Oxa develops autonomous vehicle software and hardware solutions for industrial mobility automation.,488,https://oxa.tech/,$50M to $100M,"Google, Parkwalk Advisors, NVentures, Tencent, ZF Group","BP Ventures, Future Fifty, Innovate UK, IP Group, National Wealth Fund, Ocado Group, Oxford University Innovation",https://x.com/Oxa_UA,https://www.linkedin.com/company/oxbotica,251-500,"£77,000,000",2014
Crossover Markets Group,https://www.crunchbase.com/organization/crossover-markets-group,"Mar 4, 2026","$56,850,000",Not Started,"Finance, Financial Services, FinTech, Trading Platform","London, England, United Kingdom",Crossover Markets is a digital asset trading technology company that meets the liquidity requirements of institutional investors.,546,https://www.crossovermarkets.com/,$1M to $10M,"Ripple, Illuminate Financial, Two Sigma Ventures, Gate, Tradeweb","DRW Venture Capital, Illuminate Financial, Tradeweb",https://x.com/crossover_mkts,https://www.linkedin.com/company/crossover-markets,11-50,"$31,000,000",2022
Unleash,https://www.crunchbase.com/organization/bricks-software,"Mar 4, 2026","$49,000,000",Not Started,"Developer Platform, Developer Tools, Enterprise Software, Software, Test and Measurement","Oslo, Oslo, Norway",Unleash is an open-source feature management solution that allows development teams to enable or disable specific features.,586,https://getunleash.io/,$1M to $10M,"Spark Capital, One Peak, Frontline Ventures, Alliance VC, Firstminute Capital","One Peak, Spark Capital",https://x.com/getunleash,https://www.linkedin.com/company/unleash-hosted,11-50,"$35,000,000","May 1, 2019"
