"Organization Name","Last Funding Date","Total Funding Amount","Stage","Industries","Headquarters Location","Description","CB Rank (Company)","Website","Estimated Revenue Range","Top 5 Investors","Lead Investors"
"Jump","Feb 19, 2026","$109,174,985","Not Started","Artificial Intelligence (AI), Financial Services, FinTech, Generative AI, SaaS, Wealth Management","Salt Lake City, Utah, United States","Jump provides an artificial intelligence platform designed for financial advisors and other financial services professionals.","126","https://jump.ai/","$10M to $50M","Insight Partners, Battery Ventures, Sorenson Capital, Pelion Venture Partners, Peterson Partners","Battery Ventures, Insight Partners, Sorenson Capital"
"Ownwell","Feb 19, 2026","$55,750,000","Not Started","Commercial Real Estate, Home Services, Personal Finance, Real Estate, Residential","Austin, Texas, United States","Ownwell is a property tax monitoring company that helps owners reduce real estate tax overpayments.","135","https://www.ownwell.com/","$1M to $10M","Long Journey Ventures, Everywhere Ventures, Left Lane Capital, First Round Capital, Founder Collective","Alpha Edison, First Round Capital, Mercato Partners, Western Alliance Bank"
"Loyal","Feb 11, 2026","$237,075,000","Not Started","Biotechnology, Pet, Pharmaceutical, Veterinary","San Francisco, California, United States","Loyal is a clinical-stage veterinary medicine company dedicated to extending the healthy lifespan of senior dogs.","140","https://loyalfordogs.com/","$10M to $50M","Valor Equity Partners, BoxGroup, Khosla Ventures, Bain Capital Ventures, First Round Capital","age1, Bain Capital Ventures, Bridge Bank, Collaborative Fund, Khosla Ventures, Valor Equity Partners"
"Sierra Space","Mar 5, 2026","$2,240,000,000","Not Started","Advanced Materials, Aerospace, Industrial Manufacturing, Space Travel, Transportation","Louisville, Colorado, United States","Sierra Space is a commercial space company that specializes in the development of advanced space technologies and solutions.","145","https://sierraspace.com/","$100M to $500M","General Atlantic, Coatue, MUFG Bank, AE Industrial Partners, BlackRock Private Equity Partners","Coatue, General Atlantic, Kanematsu Corporation, LuminArx Capital Management LP, Moore Strategic Ventures, MUFG Bank, Tokio Marine & Nichido Fire Insurance Dubai Branch"
"ChipAgents","Feb 17, 2026","$74,090,000","Not Started","Agentic AI, Artificial Intelligence (AI), Data Governance, Electronic Design Automation (EDA), Enterprise Software, Hardware, Machine Learning, SaaS, Security, Semiconductor","Goleta, California, United States","ChipAgents revolutionizes chip design and verification with Agentic AI, boosting RTL productivity 10x for smarter, faster innovation.","146","https://chipagents.ai/","—","Bessemer Venture Partners, Amino Capital, Ericsson, Matter Venture Partners, Micron Ventures","Bessemer Venture Partners, Matter Venture Partners, ScOp Venture Capital"
"VulnCheck","Feb 17, 2026","$44,950,000","Not Started","Artificial Intelligence (AI), Cyber Security, Information Technology, Network Security","Lexington, Massachusetts, United States","VulnCheck provides vulnerability intelligence and exploit monitoring services for security teams.","151","https://vulncheck.com/","$1M to $10M","Ten Eleven Ventures, Lux Capital, Sorenson Capital, National Grid Partners (NGP), Sorenson Ventures","Sorenson Capital, Sorenson Ventures, Ten Eleven Ventures"
"UpGuard","Feb 26, 2026","$122,380,222","Not Started","Artificial Intelligence (AI), Cyber Security, Enterprise Software, Risk Management, SaaS, Software","Mountain View, California, United States","UpGuard is a cybersecurity platform that focuses on managing cyber risks across vendor supply chains, attack surfaces, and human workforces.","152","https://www.upguard.com/","—","500 Global, Pelion Venture Partners, Square Peg Capital, IAG Capital Partners, Valar Ventures","August Capital, Pelion Venture Partners, Springcoast Capital Partners, Square Peg Capital"
"Basis","Feb 24, 2026","$137,600,000","Not Started","Accounting, Artificial Intelligence (AI), Information Technology","New York, New York, United States","Basis provides an AI agent platform that automates accounting workflows for professionals.","156","https://www.getbasis.ai/","—","Accel, BoxGroup, Khosla Ventures, Avid Ventures, Better Tomorrow Ventures","Accel, Better Tomorrow Ventures, Google Ventures, Khosla Ventures, Lloyd Blankfein"
"MatX","Feb 24, 2026","$625,000,000","Not Started","AI Infrastructure, Artificial Intelligence (AI), Hardware, Manufacturing, Semiconductor","Mountain View, California, United States","MatX is an AI semiconductor company that designs custom chips and hardware architectures to support large language models.","168","https://matx.com/","—","SV Angel, Triatomic Capital, Harpoon, Marvell, Spark Capital","Jane Street Capital, Nat Friedman, Situational Awareness, Spark Capital"
"Avisi Technologies","Feb 25, 2026","$21,712,200","Not Started","Health Care, Medical Device, Nanotechnology","Redwood City, California, United States","Avisi Technologies develops nanotechnology-based ophthalmic devices to address vision loss from glaucoma and related eye conditions.","171","https://www.avisitech.com/","$1M to $10M","OneOneFive, Gaingels, National Science Foundation, Good Growth Capital, Sherpa Healthcare Partners","MedVenture Partners, National Science Foundation"
"VITURE","Feb 26, 2026","$221,500,000","Not Started","Augmented Reality, Electronics, Manufacturing, Product Design","San Francisco, California, United States","VITURE is a 2C technology company dedicated to developing AR technology, creating trendy XR glasses.","172","https://www.viture.com/","—","Legend Capital, BAI capital, BlueRun Ventures, Singtel Innov8, Bertelsmann","BAI capital, BlueRun Ventures, Legend Capital"
"Ever","Feb 12, 2026","$48,500,000","Not Started","Artificial Intelligence (AI), Automotive, E-Commerce, E-Commerce Platforms, Electric Vehicle, Retail, Retail Technology","San Francisco, California, United States","AI-native auto retail platform, focused on electric vehicles","173","https://evercars.com/","—","Alumni Ventures, Eclipse Ventures, Lifeline Ventures, Failup Ventures, Maki.vc","Alumni Ventures, Eclipse Ventures, Lifeline Ventures, Maki.vc"
"Letter AI","Feb 24, 2026","$55,050,000","Not Started","Analytics, Artificial Intelligence (AI), SaaS, Sales Enablement, Software","Chicago, Illinois, United States","Letter AI is a generative AI powered revenue enablement platform, aiming to help revenue teams enhance productivity and performance.","174","https://www.letter.ai/","—","Battery Ventures, Y Combinator, Pioneer Fund, Stage 2 Capital, Lightbank","Battery Ventures, Formus Capital, Stage 2 Capital, Y Combinator"
"Code Metal","Feb 19, 2026","$184,450,000","Not Started","Artificial Intelligence (AI), Information Technology, Software, Software Engineering","Boston, Massachusetts, United States","Code Metal is an AI-enabled platform providing verifiable code translation and optimization for edge development and code modernization.","179","https://www.codemetal.ai/","—","B Capital, Accel, Salesforce Ventures, Bosch Ventures, Shield Capital","Accel, J2 Ventures, Salesforce Ventures, Shield Capital"
"Science","Mar 5, 2026","$407,324,984","Not Started","Biotechnology, Medical, Neuroscience","Alameda, California, United States","Science is a clinical-stage medical technology company that develops neuroengineering systems to address neurological and sensory disorders.","180","https://science.xyz/","—","Lightspeed Venture Partners, Y Combinator, Khosla Ventures, Quiet Capital, Artis Ventures","Khosla Ventures, Lightspeed Venture Partners"
"Create Music Group","Mar 4, 2026","$615,000,000","Not Started","Digital Media, Media and Entertainment, Music","Los Angeles, California, United States","Create Music Group is a music services company that provides rights management, royalty collection, and monetization solutions.","181","https://www.createmusicgroup.com/","$100M to $500M","2 Mile, Ares Management, Flexpoint Ford, Charles Goldstuck","Flexpoint Ford"
"Beta Technologies","Feb 10, 2026","$1,979,850,000","Not Started","Aerospace, Air Transportation, Battery, Machinery Manufacturing, Manufacturing","South Burlington, Vermont, United States","Beta Technologies builds electric VTOL and CTOL aircraft, charging systems, and training programs focused on operational simplicity.","182","https://beta.team/","$10M to $50M","Fidelity, Qatar Investment Authority, RedBird Capital Partners, GE Aerospace, Export-Import Bank of the United States","Amazon.com NV Investment Holdings, Export-Import Bank of the United States, Fidelity, GE Aerospace, Qatar Investment Authority, State of Michigan, TPG Rise Climate Fund"
"Nscale","Feb 12, 2026","$3,118,540,823","Not Started","AI Infrastructure, Artificial Intelligence (AI), GPU, Information Technology, Internet, Telecommunications","London, England, United Kingdom","Nscale provides a full-stack AI cloud platform designed for enterprise-scale workloads.","183","https://www.nscale.com/","—","NVIDIA, Blue Owl, Fidelity, Point72, Nokia","Aker, Blue Owl, LuminArx Capital Management LP, PIMCO, Sandton Capital Partners"
"Selector","Feb 18, 2026","$98,000,000","Not Started","Analytics, Artificial Intelligence (AI), Data Visualization, Infrastructure, Machine Learning, Software","Santa Clara, California, United States","Selector is a software company that provides an AIOps platform for operational intelligence.","199","https://www.selector.ai/","$10M to $50M","AVP, Ansa Capital, Atlantic Bridge, Two Bear Capital, SineWave Ventures","Ansa Capital, Atlantic Bridge, AVP, SineWave Ventures, Two Bear Capital"
"Forerunner","Feb 5, 2026","$40,500,000","Not Started","Artificial Intelligence (AI), Geospatial, Government, Software","San Francisco, California, United States","Forerunner is an AI-powered geospatial platform that assists governments in updating their operations and enhancing community resilience.","201","https://withforerunner.com/","Less than $1M","Wellington Management, Union Square Ventures, Everywhere Ventures, Flybridge, SE Ventures","Union Square Ventures, Wellington Management, XFactor Ventures"
"Aalyria","Feb 23, 2026","$100,000,000","Not Started","Internet, Network Security, Satellite Communication, Telecommunications","Livermore, California, United States","Aalyria is an advanced aerospace communications company that provides high-throughput networks for both commercial and government clients.","206","https://www.aalyria.com/","—","Accel, Battery Ventures, J2 Ventures, DYNE Ventures.","Battery Ventures, J2 Ventures"
"Rowspace","Feb 25, 2026","$50,000,000","Not Started","Analytics, Artificial Intelligence (AI), Data Management, FinTech, Machine Learning, Software","San Francisco, California, United States","Rowspace provides an AI platform that helps financial firms use proprietary data for decision-making.","209","https://rowspace.ai/","$1M to $10M","Stripe, Sequoia Capital, Emergence Capital, Basis Set Ventures, Twine Ventures","Emergence Capital, Sequoia Capital"
"Bretton AI","Feb 10, 2026","$95,300,000","Not Started","Artificial Intelligence (AI), Compliance, Financial Services, FinTech","San Francisco, California, United States","Bretton is an AI platform for financial crime operations that automates essential workflows in AML, KYC, and risk management.","214","https://www.greenlite.ai/","$1M to $10M","General Catalyst, Sapphire Ventures, Y Combinator, Greylock, Thomson Reuters Ventures","Greylock, Sapphire Ventures, Y Combinator"
"Temporal Technologies","Feb 17, 2026","$754,500,000","Not Started","Information Technology, Internet, Open Source, Software","Bellevue, Washington, United States","Temporal Technologies is an open-source platform that simplifies building and managing complex, long-running workflows and microservices.","215","https://temporal.io/","$10M to $50M","Andreessen Horowitz, Sequoia Capital, Lightspeed Venture Partners, Madrona, Sapphire Ventures","Amplify Partners, Andreessen Horowitz, GIC, Greenoaks, Index Ventures, Sequoia Capital, Tiger Global Management"
"TrueLayer","Feb 19, 2026","$321,800,000","Not Started","Banking, Developer Tools, Financial Services, FinTech, Payments","London, England, United Kingdom","TrueLayer powers smarter, safer and faster online payments by combining real-time bank payments with financial and identity data.","221","https://truelayer.com/","$10M to $50M","Stripe, Temasek Holdings, Northzone, Tiger Global Management, Anthemis","Addition, Anthemis, Connect Ventures, eBay Ventures, Northzone, Temasek Holdings, Tencent, Tiger Global Management"
"BrainCheck","Feb 26, 2026","$54,745,000","Not Started","Health Care, Health Diagnostics, Personal Health, Wellness","Houston, Texas, United States","BrainCheck is a digital platform for cognitive assessment and care that evaluates brain health across clinical and non-clinical settings.","224","http://www.braincheck.com/","Less than $1M","Flybridge, Next Coast Ventures, S3 Ventures, True Wealth Ventures, National Institutes of Health","Brett Giroir, Dreamit Ventures, National Institutes of Health, Next Coast Ventures, S3 Ventures, Small Business Innovation Research, Tensility Venture Partners, True Wealth Ventures"
"Reco","Feb 10, 2026","$85,000,000","Not Started","Artificial Intelligence (AI), Cyber Security, Generative AI, SaaS","Altamonte Springs, Florida, United States","Reco is a dynamic SaaS security company that specializes in monitoring and securing cloud applications.","226","https://www.reco.ai/","$10M to $50M","Insight Partners, Plug and Play, Zeev Ventures, S Ventures, Quadrille Capital","Angular Ventures, boldstart ventures, Insight Partners, Zeev Ventures"
"Cineverse","Feb 12, 2026","$31,500,000","Not Started","—","Woodland Hills, California, United States","Cineverse is an ad supported streaming service to bring movies and tv shows.","234","https://www.cineverse.com/","$10M to $50M","East West Bank","East West Bank"
"Stacks","Feb 19, 2026","$33,420,879","Not Started","Accounting, Artificial Intelligence (AI), Enterprise Software, Financial Services, FinTech","Amsterdam, Noord-Holland, The Netherlands","Stacks is a software platform that helps accounting teams automate and manage the financial close process with AI-driven tools.","245","https://stacks.ai/","—","General Catalyst, Lightspeed Venture Partners, s16vc, EQT Ventures, Travis Foxhall","EQT Ventures, General Catalyst, Lightspeed Venture Partners"
