Organization Name,CrunchBase URL,Last Funding Date,Total Funding Amount,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Website,Estimated Revenue Range,Top 5 Investors,Lead Investors,Twitter,LinkedIn,Number of Employees,Last Funding Amount,Founded Date
Daymark Health,https://www.crunchbase.com/organization/daymark-health,"Sep 25, 2025","$57,500,000",Not Started,"Health Care, Medical, Wellness","San Francisco, California, United States","Daymark Health is a value-based oncology company redefining the cancer care experience for patients, providers, and health plans.","6,333",https://www.daymarkhealth.com/,—,"Maverick Ventures, Healthier Capital, Yosemite, Oncology Ventures, The Blue Venture Fund","Healthier Capital, Maverick Ventures, The Blue Venture Fund, Yosemite",,https://www.linkedin.com/company/daymarkhealth,1-10,"$20,000,000",2022
Sunrise,https://www.crunchbase.com/organization/sunrise-cdf9,"Sep 25, 2025","€49,500,000",Not Started,"Health Care, Health Diagnostics, Home Health Care, Lifestyle, Medical Device, Wellness","Brussels, Brussels Hoofdstedelijk Gewest, Belgium","We are a virtual sleep clinic, using our own 3-gram sensor to diagnose sleep with gold standard quality.","6,847",https://hellosunrise.com/,$1M to $10M,"Seventure Partners, European Innovation Council, Kurma Partners, Eurazeo, UI Investissement","Eurazeo, Kurma Partners",https://x.com/sunrisesleep,https://www.linkedin.com/company/hellosunrise/?originalSubdomain=be,51-100,"€25,000,000",2015
Beroe Inc - Advantage Procurement,https://www.crunchbase.com/organization/beroe-inc-advantage-procurement,"Sep 25, 2025","$44,000,000",Not Started,"Business Intelligence, Market Research, Procurement, Supply Chain Management","Holly Springs, North Carolina, United States",Beroe is a procurement intelligence company which specialises in customised market research. Our insights help procurement decision-making,"9,022",http://www.beroeinc.com/,$10M to $50M,"Ashish Kacholia, Alchemy Capital Management, Access Asset Managers, Relativity Investment Advisors, Mukul Agrawal","Access Asset Managers, Alchemy Capital Management, Ashish Kacholia, Lashit Sanghvi, Mukul Agrawal, Relativity Investment Advisors",https://x.com/beroeinc,https://www.linkedin.com/company/beroe-inc/,251-500,"$34,000,000",2006
Orbio,https://www.crunchbase.com/organization/orbio-9004,"Sep 25, 2025","€6,400,000",Not Started,"Artificial Intelligence (AI), Recruiting, Software","Madrid, Madrid, Spain","Orbio is an AI native system firm that aids companies to create dynamic talent, eliminate repetitive work and deliver business impact.","9,489",https://orbio.work/,—,"2100 Ventures, Enzo Ventures, Visionaries Club",Visionaries Club,,https://www.linkedin.com/company/orbioai/,1-10,"€6,400,000",2025
Flox,https://www.crunchbase.com/organization/flox-ea31,"Sep 25, 2025","$48,809,011",Not Started,"Information Technology, Management Information Systems, Software","New York, New York, United States","Flox offers developers, platform engineers, and operators reproducible environments that span the enterprise SDLC. Bringing Nix to Work!","9,910",https://flox.dev/,$10M to $50M,"Illuminate Financial, Hetz Ventures, New Enterprise Associates, D. E. Shaw & Co., Addition","Addition, Hetz Ventures, New Enterprise Associates",https://x.com/floxdevelopment,https://www.linkedin.com/company/floxdev/,11-50,"$24,887,984",2021
New England Patriots,https://www.crunchbase.com/organization/new-england-patriots,"Sep 25, 2025","$720,000,000",Not Started,"Sports, Sports Leagues and Teams","Foxboro, Massachusetts, United States",The New England Patriots is a professional American football team based in the Greater Boston area.,"10,168",http://www.patriots.com/,—,"Sixth Street, C. Dean Metropoulos","C. Dean Metropoulos, Sixth Street",https://x.com/patriots,https://www.linkedin.com/company/new-england-patriots,251-500,"$720,000,000","Nov 22, 1959"
ZF Group,https://www.crunchbase.com/organization/zf-friedrichshafen-ag,"Sep 25, 2025","$1,500,000,000",Not Started,"Automotive, Electric Vehicle, Manufacturing","Friedrichshafen, Baden-Wurttemberg, Germany","ZF Group is a technology company supplying systems for passenger cars, commercial vehicles, and industrial technology enabling mobility.","10,720",https://www.zf.com/,$10B+,—,—,https://x.com/zf_group,https://www.linkedin.com/company/zf-group/,10001+,"$1,500,000,000","Aug 20, 1915"
Augment Markets,https://www.crunchbase.com/organization/augment-markets,"Sep 25, 2025","$21,024,993",Not Started,"Financial Services, FinTech, Internet, Marketplace","Austin, Texas, United States",Augment Markets is a pre-IPO marketplace that enables investors to buy and sell shares in private companies.,"12,770",https://augment.market/,—,"Accel, Builders VC, New Enterprise Associates, Neo, E1 Ventures","Builders VC, Golden Section, Neo",https://x.com/AugmentMarkets,https://www.linkedin.com/company/augmentmarkets,11-50,"$16,524,993",2022
revel8,https://www.crunchbase.com/organization/revel8-8509,"Sep 25, 2025","€7,000,000",Not Started,"Artificial Intelligence (AI), Corporate Training, Cyber Security, Security, Software","Berlin, Berlin, Germany","revel8 stops GenAI social engineering with real-time, personalized simulations across email, SMS, voice & video deepfakes","14,197",https://www.revel8.ai/,—,"Merantix Capital, Fortino Capital, Peak, Mario Götze, Alexander Rinke","Merantix Capital, Peak",,https://www.linkedin.com/company/revel8ai/,11-50,"€5,700,000",Oct 2023
Bandana,https://www.crunchbase.com/organization/bandana,"Sep 25, 2025","$25,299,958",Not Started,"Information Technology, Online Portals, Software","Brooklyn, New York, United States",Bandana operates as a people-first online job platform.,"14,533",https://bandana.com/,—,"General Catalyst, Craft Ventures, Sarah Smith Fund, Angel Collective Opportunity Fund, Triple Impact Capital","Craft Ventures, General Catalyst",https://x.com/Bandana_HQ,https://www.linkedin.com/company/bandanaco/about/,1-10,"$12,999,958",2022
DEXA,https://www.crunchbase.com/organization/drone-express,"Sep 25, 2025","$7,751,500",Not Started,"Aerospace, Delivery Service, Drones","Dayton, Ohio, United States",DEXA is a full-service logistics company that uses airborne autonomous drones for local package delivery.,"16,442",https://droneexpress.com/,$1M to $10M,"Tech Square Ventures, Venture 53, G2A Investment Partners, Columbia Ventures Brazil","G2A Investment Partners, Venture 53",https://x.com/fly_dexa,https://www.linkedin.com/company/flydexa,11-50,—,2021
Exail Technologies,https://www.crunchbase.com/organization/exail-technologies,"Sep 25, 2025","€300,000,000",Not Started,"Industrial, Industrial Engineering, Robotics","Paris, Ile-de-France, France","Exail Technologies specializes in advanced technologies in the fields of autonomous robotics, navigation, aerospace, and photonics.","16,598",https://www.exail-technologies.com/,$100M to $500M,"BNP Paribas, Natixis","BNP Paribas, Natixis",https://x.com/ExailTechno,https://www.linkedin.com/company/exail-technologies,1001-5000,"€300,000,000",1990
UniQure,https://www.crunchbase.com/organization/uniqure,"Sep 25, 2025","$1,250,737,500",Not Started,"Biotechnology, Genetics, Health Care, Medical","Amsterdam, Noord-Holland, The Netherlands",uniQure is focused on the research and early development of human gene-based therapies.,"17,153",http://www.uniqure.com/,$10M to $50M,"Coller Capital, Hercules Capital, Forbion Capital Partners, Chiesi Farmaceutici","Coller Capital, Hercules Capital",https://x.com/uniQure_NV,https://www.linkedin.com/company/uniqure,101-250,"$345,000,000",1998
MaxHome,https://www.crunchbase.com/organization/maxhome-0120,"Sep 25, 2025","$9,000,000",Not Started,"Artificial Intelligence (AI), Customer Service, Information Technology, Real Estate","Fremont, California, United States",MaxHome is an AI-native platform for real estate agents and brokerages.,"18,309",https://maxhome.ai/,—,"Flybridge, Fika Ventures, 1Sharpe Ventures, BBG Ventures, Fortitude Ventures","BBG Ventures, Fika Ventures",,https://www.linkedin.com/company/maxhome-ai,1-10,"$5,000,000",2024
Integer Holdings,https://www.crunchbase.com/organization/lake-region-medical,"Sep 25, 2025","$1,435,000,000",Not Started,"Health Care, Manufacturing, Medical, Medical Device","Wilmington, Massachusetts, United States",Integer Holdings collaborates to deliver life-changing innovations that enhance the lives of patients.,"18,637",https://www.integer.net/,$1B to $10B,Disruptive Technologies Innovation Fund,Disruptive Technologies Innovation Fund,,https://www.linkedin.com/company/10854676/,10001+,—,2000
Bonsai Health,https://www.crunchbase.com/organization/bonsai-health,"Sep 25, 2025","$7,000,000",Not Started,"Artificial Intelligence (AI), Biotechnology, Health Care","Santa Monica, California, United States",Bonsai Health is an AI-led healthcare firm that helps in reducing the workloads of staffs and provide better patient outcome.,"18,688",https://www.bonsaihealth.com/,—,"Bonfire Ventures, Wonder Ventures","Bonfire Ventures, Wonder Ventures",,https://www.linkedin.com/company/bonsaihealth/,11-50,"$7,000,000",2024
Boldr,https://www.crunchbase.com/organization/boldr-28ba,"Sep 25, 2025","$7,747,159",Not Started,"Clean Energy, CleanTech, Consumer Goods, Energy, Home and Garden, Home Improvement, Internet of Things, Smart Home","London, England, United Kingdom",Empowering households to reduce energy consumption while making homes a proactive part of the energy grid.,"19,057",https://shopboldr.com/,$1M to $10M,"Norrsken VC, Techstars, Unconventional Ventures, Ada Ventures, FP Solutions",—,,https://www.linkedin.com/company/shopboldr/,11-50,"$3,200,000","Mar 22, 2022"
Doorstep AI,https://www.crunchbase.com/organization/doorstep-ai,"Sep 25, 2025","$8,000,000",Not Started,"Artificial Intelligence (AI), B2B, Delivery","New York, New York, United States",Doorstep AI is an artificial intelligence company that provides centimeter precise delivery drop-off location accuracy.,"19,671",https://www.doorstep.ai/,—,"Antler, Canaan Partners, Cercano Management, CASSIUS, Sean Henry","Antler, Canaan Partners",,https://www.linkedin.com/company/doorstep-ai/,1-10,"$8,000,000",2023
Clean Harbors,https://www.crunchbase.com/organization/clean-harbors,"Sep 25, 2025","$745,375,000",Not Started,"CleanTech, Energy, Industrial","Norwell, Massachusetts, United States","Clean Harbors is a provider of environmental, energy, and industrial services, including hazardous waste disposal for companies.","19,995",http://www.cleanharbors.com/,$1B to $10B,"Summit Partners, Relational Investors LLC.",Relational Investors LLC.,https://x.com/CleanHarbors_HR,https://www.linkedin.com/company/clean-harbors,10001+,"$745,000,000",1980
Royal College of Surgeons,https://www.crunchbase.com/organization/rcsi,"Sep 25, 2025","€43,600,000",Not Started,"Clinical Trials, Education, Health Care, Medical, Training","Dublin, Dublin, Ireland",Royal College of Surgeons is a medical and educational institution.,"21,868",https://www.rcsi.com/,$100M to $500M,"European Investment Bank, Disruptive Technologies Innovation Fund, Science Foundation Ireland","Disruptive Technologies Innovation Fund, European Investment Bank, Science Foundation Ireland",https://x.com/RCSI_Irl,https://www.linkedin.com/school/rcsi/,1001-5000,—,1784
DocToMe,https://www.crunchbase.com/organization/doctome-inc,"Sep 25, 2025","$13,616,691",Not Started,"Health Care, Information Technology","Gig Harbor, Washington, United States",DocToMe offers a digital health platform designed to offer disease management and telemedicine services.,"24,899",http://doctome.org/,Less than $1M,—,—,,,1-10,"$5,000,000",2017
The Free Press,https://www.crunchbase.com/organization/the-free-press,"Sep 25, 2025","$15,000,000",Not Started,"Media and Entertainment, News, Politics","Los Angeles, California, United States","The Free Press is a media company dedicated to reporting on science, politics, and culture.","26,181",https://thefp.com/,$10M to $50M,Centre Street Partners,—,https://x.com/TheFP,https://www.linkedin.com/company/thefreepress,11-50,"$15,000,000",2021
enadyne,https://www.crunchbase.com/organization/enadyne,"Sep 25, 2025","€7,000,000",Not Started,"Chemical, Environmental Engineering, Renewable Energy","Freiberg, Sachsen, Germany",enaDyne develops advanced non-thermal plasma catalysis reactors that enable the recycling of CO2 into green chemicals and eFuels.,"27,768",https://enadyne.de/,—,"Amadeus APEX Technology Fund, Energy Capital Ventures, Possible Ventures, VentureOut, Antares Ventures","Amadeus APEX Technology Fund, Carbon to Value Initiative (C2V Initiative), Energy Capital Ventures",,https://www.linkedin.com/company/enadyne/,11-50,"€7,000,000",Feb 2022
WAAT,https://www.crunchbase.com/organization/waat-1188,"Sep 25, 2025","€130,000,000",Not Started,"Charging Infrastructure, Civil Engineering, Electric Vehicle, Energy, Energy Storage","Paris, Ile-de-France, France",WAAT operates fast charging stations for electric and rechargeable hybrid vehicles.,"29,271",https://waat.fr/,$50M to $100M,"Bpifrance, DWS Group, RAISE Impact","Bpifrance, DWS Group, RAISE Impact",https://x.com/Waat_officiel,https://www.linkedin.com/company/waat-officiel,251-500,"€100,000,000",2018
CleanFiber,https://www.crunchbase.com/organization/ultracell-insulation,"Sep 25, 2025","$124,971,046",Not Started,"Building Material, Construction, Manufacturing, Social Entrepreneurship","Buffalo, New York, United States",CleanFiber makes high-performance carbon-negative building insulation from recycled corrugated cardboard.,"29,438",https://www.cleanfiber.com/,Less than $1M,"National Science Foundation, Global Brain Corporation, MassChallenge, Spring Lane Capital, National Grid","Aligned Climate Capital, Clean Energy Venture Group, Lapis Advisers, Massachusetts Clean Energy Center, National Grid, National Science Foundation, Spring Lane Capital, SustainVC, Third Derivative, Tokyu Construction innovation fund",,https://in.linkedin.com/company/cleanfiber,11-50,"$33,996,909",Jan 2013
CroíValve,https://www.crunchbase.com/organization/cro%C3%ADvalve,"Sep 25, 2025","$47,739,144",Not Started,Medical Device,"Dublin, Dublin, Ireland","CroíValve is a developed safe, effective, easy to use, percutaneous solution company.","30,441",http://www.croivalve.com/,Less than $1M,"Enterprise Ireland, SOSV, Elkstone Capital Partners, European Innovation Council, IAG Capital Partners","Broadview Ventures, Disruptive Technologies Innovation Fund, EIC Accelerator, European Innovation Council, HBAN, Horizon 2020, Irrus Investments, MedTech Syndicates",https://x.com/croivalve,https://www.linkedin.com/company/croivalve/,1-10,—,2016
Ualett,https://www.crunchbase.com/organization/ualett,"Sep 25, 2025","$206,200,000",Not Started,"FinTech, Mobile Apps, Personal Finance, SaaS","Wilmington, Delaware, United States",Ualett is a leading mobile app solution offering online cash advances to independent workers in the United States.,"30,649",https://www.ualett.com/,$10M to $50M,Thiele Capital Management,Thiele Capital Management,https://x.com/appualett,https://www.linkedin.com/company/ualett,101-250,"$150,000,000","Jul 13, 2018"
Hertz,https://www.crunchbase.com/organization/hertz,"Sep 25, 2025","$2,860,000,000",Not Started,"Automotive, Leisure, Transportation","Naples, Florida, United States",Hertz is an airport general use car rental company.,"34,215",http://www.hertz.com/,$1B to $10B,—,—,https://x.com/Hertz,https://www.linkedin.com/company/hertz,10001+,"$375,000,000",1918
Sunwealth Power,https://www.crunchbase.com/organization/sunwealth-power,"Sep 25, 2025","$329,900,000",Not Started,"Clean Energy, Energy","Somerville, Massachusetts, United States",Sunwealth Power is a operator of a tech-driven clean energy investment firm created to invest in clean and solar energy projects,"38,535",https://www.sunwealth.com/,$10M to $50M,"Climate First Bank, Calvert Impact Capital, Boston Impact Initiative (BII), US Department of Energy, MassChallenge","Calvert Impact Capital, Climate First Bank, Inclusive Prosperity Capital, RSF Social Finance, The Reinvestment Fund, US Department of Energy",https://x.com/SunwealthPower,https://www.linkedin.com/company-beta/11001650/,1-10,"$20,000,000",2015
Area 2 Farms,https://www.crunchbase.com/organization/area-2-farms,"Sep 25, 2025","$9,000,000",Not Started,"Agriculture, B2C, Farming, Organic Food","Arlington, Virginia, United States",Area 2 Farms is an agricultural company that provides production and delivery services for organic vegetables and produce.,"38,988",https://www.area2farms.com/,—,"Alumni Ventures, 468 Capital, Slow Ventures, Karman Ventures, Seven Seven Six","Alumni Ventures, Seven Seven Six, Slow Ventures",https://x.com/area2farms,https://www.linkedin.com/company/area2farms/,11-50,"$9,000,000",2020
Arecor,https://www.crunchbase.com/organization/arecor,"Sep 25, 2025","$41,815,243",Not Started,"Biopharma, Biotechnology, Education, Pharmaceutical","Little Chesterford, Essex, United Kingdom",Arecor is a leader in developing superior biopharmaceuticals through the application of its innovative formulation technology platform.,"39,598",http://www.arecor.com/,$1M to $10M,"Unilever Ventures, AlbionVC, Innovate UK, Sequel, Downing Ventures","Biomedical Catalyst Fund, Calculus Capital, Downing Ventures, DSM Venturing, Hygea VCT, Innovate UK, Sequel",https://x.com/arecor_ltd,https://www.linkedin.com/company/arecor-limited,11-50,"$7,000,000","Jan 1, 2007"
Share,https://www.crunchbase.com/organization/share-xyz,"Sep 25, 2025","$6,000,500",Not Started,"Information Services, Information Technology, Service Industry","New York, New York, United States",Share XYZ is an information technology service provider.,"45,615",http://www.share.xyz/,—,"Coinbase Ventures, Collab+Currency, Palm Tree Crew",—,https://x.com/sharedotxyz,,—,"$5,000,000",2023
Exergyn,https://www.crunchbase.com/organization/exergyn,"Sep 25, 2025","€34,883,053",Not Started,"CleanTech, Environmental Engineering, Heating, Ventilation, and Air Conditioning (HVAC), Industrial","Glasnevin, Dublin, Ireland",Exergyn is a clean-tech company that develops solid state HVAC technology (heat pumps and air conditioning).,"46,149",http://exergyn.com/,$10M to $50M,"Mercuria, McWin Partners, EISMEA, Disruptive Technologies Innovation Fund, NDRC","Disruptive Technologies Innovation Fund, EISMEA, Lacerta Partners, Mercuria",https://x.com/exergyn,https://www.linkedin.com/company/exergyn,11-50,"€2,300,000",2012
ePower,https://www.crunchbase.com/organization/epower-9aee,"Sep 25, 2025","€48,000,000",Not Started,"Electric Vehicle, Transportation","Cork, Cork, Ireland",ePower has the knowledge to help you find the best solution for your EV charging needs.,"46,375",https://www.epower.ie/,$10M to $50M,"Impax Asset Management, Dunport Capital","Dunport Capital, Impax Asset Management",https://x.com/ePowerIreland,https://www.linkedin.com/company/epower-ireland,51-100,"€30,000,000",2018
Tilt (formerly Empower),https://www.crunchbase.com/organization/empower-2,"Sep 25, 2025","$314,500,000",Not Started,"Credit, Credit Cards, Finance, FinTech, Lending, Personal Finance","San Francisco, California, United States",Tilt (formerly Empower) is a financial technology company on a mission to expand access to fair credit.,"47,808",https://www.tilt.com/,$1M to $10M,"Sequoia Capital, Blackbird Ventures, Quiet Capital, Blisce, Initialized Capital","Blisce, Defy Ventures, Initialized Capital, Sequoia Capital",https://x.com/tilt,https://www.linkedin.com/company/tiltHQ/,251-500,—,2016
Divine Research,https://www.crunchbase.com/organization/divine-research,"Sep 25, 2025","$6,600,000",Not Started,—,"San Francisco, California, United States","Divine Research offers a credit platform called ""Credit"" that provides small, fast loans without requiring collateral or credit history.","48,333",https://divine.inc/,—,"Paradigm, Nascent, Tarun Chitra, Hart Lambur, Demian Brener",Paradigm,https://x.com/DivineResearch?utm_source=divine.inc,,—,"$6,600,000",2025
Drugs Made In America Acquisition,https://www.crunchbase.com/organization/drugs-made-in-america-acquisition-corp-ii,"Sep 25, 2025","$12,000,000",Not Started,—,"Fort Lauderdale, Florida, United States",Drugs Made In America Acquisition is a special-purpose acquisition company formed to effect mergers and business combinations.,"49,168",https://dmaacorp.com/,—,—,—,,,1-10,"$12,000,000",2024
Datavault AI,https://www.crunchbase.com/organization/summit-semiconductor,"Sep 25, 2025","$182,100,000",Not Started,"Audio, Consumer Electronics, Electronics, TV, Wireless","Philadelphia, Pennsylvania, United States",Datavault AI develops spatial audio wireless technology for smart devices and home entertainment systems.,"49,890",https://datavaultsite.com/,$1M to $10M,"Scilex Holding Company, EOS Technical Holdings, Lind Global Macro Fund","EOS Technical Holdings, Lind Global Macro Fund, Scilex Holding Company",https://x.com/wisaassociation,https://www.linkedin.com/company/summit-semiconductor/,51-100,"$150,000,000",2010
Generali Group,https://www.crunchbase.com/organization/generali-group,"Sep 25, 2025","€1,250,000,000",Not Started,"Finance, Financial Services, Health Insurance, Insurance, Life Insurance, Property Insurance","Trieste, Friuli-Venezia Giulia, Italy",The Generali Group is a global insurance firm that offers insurance products and financial services to its clients.,"50,285",http://www.generali.com/,$10B+,Francesco Caltagirone,Francesco Caltagirone,https://x.com/generali,https://www.linkedin.com/company/generali/,10001+,"€500,000,000","Dec 26, 1831"
Laberit,https://www.crunchbase.com/organization/laberit,"Sep 25, 2025","€10,000,000",Not Started,"Information Technology, Professional Services, Software","Valencia, Comunidad Valenciana, Spain",Lãberit is an IT company that specializes in providing software development solutions and technological solutions.,"53,075",https://www.laberit.com/,—,Nazca Capital,Nazca Capital,https://x.com/Laberit_tech,https://www.linkedin.com/company/laberit/,501-1000,"€10,000,000",—
The Lynd Company,https://www.crunchbase.com/organization/the-lynd-company,"Sep 25, 2025","$122,750,000",Not Started,"Construction, Property Development, Property Management, Real Estate","San Antonio, Texas, United States",The Lynd Company is a real estate company that offers management and construction services.,"53,307",https://lynd.com/,$10M to $50M,"Starwood Capital Group, Ladder Capital Finance","Ladder Capital Finance, Starwood Capital Group",https://x.com/thelyndco,https://www.linkedin.com/company/the-lynd-company/,501-1000,"$64,000,000","Jan 1, 1980"
Prelude,https://www.crunchbase.com/organization/prelude-84fb,"Sep 25, 2025","$41,825,000",Not Started,"Cyber Security, Desktop Apps, Information Technology","Seattle, Washington, United States",Prelude is a technology company that helps organizations proactively ask questions of their security systems to advance their defenses.,"53,338",https://www.preludesecurity.com/,—,"Sequoia Capital, Insight Partners, IA Ventures, Revolution’s Rise of the Rest Seed Fund, Four Rivers Group","Brightmind Partners, General Advance, Sequoia Capital",https://x.com/preludeorg,https://www.linkedin.com/company/preludeorg,11-50,"$16,000,000",2020
AuriGen Medical,https://www.crunchbase.com/organization/aurigen-medical,"Sep 25, 2025","€9,179,945",Not Started,"Health Care, Medical, Medical Device","Galway, Galway, Ireland",AuriGen Medical is a structural heart and EP company.,"56,852",http://aurigenmedical.com/,$1M to $10M,"European Innovation Council, EISMEA, Disruptive Technologies Innovation Fund, MedTech Innovator","Disruptive Technologies Innovation Fund, European Innovation Council",https://x.com/aurigenmedical,https://www.linkedin.com/company/aurigen-medical/,1-10,—,2016
Center for Disaster Philanthropy,https://www.crunchbase.com/organization/center-for-disaster-philanthropy,"Sep 25, 2025","$6,800,000",Not Started,Association,"Washington, District of Columbia, United States",CDP’s mission is to transform disaster giving by providing timely and thoughtful strategies to increase donors’ impact during domestic,"56,875",http://disasterphilanthropy.org/,$10M to $50M,"Truist Foundation Western North Carolina Recovery and Resiliency Fund, Truist Foundation","Truist Foundation, Truist Foundation Western North Carolina Recovery and Resiliency Fund",https://x.com/funds4disaster,https://www.linkedin.com/company/center-for-disaster-philanthropy,11-50,"$6,800,000",2010
StemInov,https://www.crunchbase.com/organization/steminov,"Sep 25, 2025","€10,600,000",Not Started,"Biotechnology, Clinical Trials, Life Science, STEM Education","Vandoeuvre-lès-nancy, Lorraine, France","StemInov develops stem cell therapies for inflammatory diseases, focusing on septic shock and ARDS.","57,489",https://www.steminov.com/,$1M to $10M,"Alsace Business Angels, Angels Santé, Finovam Gestion, Les Business Angels des Grandes Écoles, Incubateur Lorrain",—,,https://www.linkedin.com/company/steminov,1-10,"€10,600,000",2019
Black Hills,https://www.crunchbase.com/organization/black-hills-corporation,"Sep 25, 2025","$1,450,000,000",Not Started,"Electronics, Energy, Oil and Gas","Rapid City, South Dakota, United States",Black Hills is a diversified energy company with a tradition of exemplary service and a vision to be the energy partner of choice.,"61,475",http://blackhillscorp.com/,$1B to $10B,—,—,https://x.com/blackhillscorp,https://www.linkedin.com/company/black-hills-corporation,1001-5000,"$450,000,000",1941
Franklin BSP Capital (“FBCC”),https://www.crunchbase.com/organization/franklin-bsp-capital-corporation-fbcc,"Sep 25, 2025","$300,000,000",Not Started,"Business Development, Finance, Financial Services","New York, New York, United States",FBCC offers a range of borrowers in various industries flexible financing options across the capital structure.,"66,319",https://fbccbdc.com/,—,—,—,,,251-500,"$300,000,000",2008
