Organization Name,CrunchBase URL,Last Funding Date,Total Funding Amount,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Website,Estimated Revenue Range,Top 5 Investors,Lead Investors,Twitter,LinkedIn,Number of Employees,Last Funding Amount,Founded Date
Starbridge,https://www.crunchbase.com/organization/starbridge-fcbe,"Oct 21, 2025","$52,000,000",Not Started,"Artificial Intelligence (AI), Business Intelligence, Education, Government, Infrastructure","New York, New York, United States",Starbridge provides a go-to-market intelligence platform designed for companies that sell to government and educational institutions.,"5,773",https://starbridge.ai/,—,"Craft Ventures, Autotech Ventures, Owl Ventures, Commonweal Ventures, Avalanche VC","Craft Ventures, Owl Ventures",,https://www.linkedin.com/company/starbridge-ai,11-50,"$42,000,000",2023
CrunchLabs,https://www.crunchbase.com/organization/crunchlabs,"Oct 21, 2025","$7,200,000",Not Started,"Education, Manufacturing, Toys","Sunnyvale, California, United States","CrunchLabs is an educational technology company that creates toys and robots for kids, teens, and adults.","6,413",https://www.crunchlabs.com/,—,—,—,https://x.com/crunchlabs,https://www.linkedin.com/company/crunchlabsofficial,—,"$7,200,000",2022
Hyro,https://www.crunchbase.com/organization/airbud-technologies-inc,"Oct 21, 2025","$95,000,000",Not Started,"Artificial Intelligence (AI), B2B, Health Care, SaaS, Virtual Assistant","New York, New York, United States",Hyro is a plug-and-play conversational AI platform that enables enterprises to add voice and text capabilities to their digital channels.,"7,180",https://www.hyro.ai/,$10M to $50M,"Norwest, Healthier Capital, Black Opal Ventures, Dorm Room Fund, Mindset Ventures","Deloitte Launchpad, Hanaco Venture Capital, Healthier Capital, Intel Ignite, Macquarie Capital, Spero Ventures",https://x.com/hyro_ai,https://www.linkedin.com/company/hyroai,101-250,"$45,000,000",May 2018
Recurrent Energy,https://www.crunchbase.com/organization/recurrent-energy,"Oct 21, 2025","$4,916,910,828",Not Started,"Energy, Energy Storage, Renewable Energy, Solar","Austin, Texas, United States","Recurrent Energy focuses on developing, owning, and operating solar and energy storage projects to drive the global energy transition.","7,534",http://www.recurrentenergy.com/,$1B to $10B,"European Investment Bank, BlackRock, Santander, Morgan Stanley, Wells Fargo","BlackRock, European Investment Bank, Greenprint Capital, Hudson Sustainable Group, Investec, Mohr Davidow Ventures, Natixis, Nord/LB, Santander, Santander CIB, U.S. Bancorp, Wells Fargo",https://x.com/RecurrentEnergy,https://www.linkedin.com/company/recurrentenergy,501-1000,"$825,000,000",2006
Arbor Energy,https://www.crunchbase.com/organization/arbor-energy,"Oct 21, 2025","$68,500,000",Not Started,"Aerospace, Biomass Energy, Clean Energy, Hardware, Renewable Energy","Los Angeles, California, United States","Arbor Energy is a clean power company that creates compact systems to generate clean, dependable electricity with zero emissions.","9,567",https://arbor.co/,—,"Voyager Ventures, Lowercarbon Capital, Global Founders Capital, Cantos, Marathon Petroleum","Cantos, Countdown Capital, Lowercarbon Capital, US Department of Energy, Voyager Ventures",,https://www.linkedin.com/company/arbor-energy-resources,11-50,"$55,000,000",Jan 2022
Rapt Therapeutics,https://www.crunchbase.com/organization/flx-bio,"Oct 21, 2025","$840,200,016",Not Started,"Biotechnology, Health Care, Medical, Pharmaceutical, Therapeutics","South San Francisco, California, United States",Rapt  is focused on the discovery and development of novel small-molecule agents to activate the immune system to eradicate cancer.,"9,810",https://rapt.com/,$10M to $50M,"Kleiner Perkins, TCG Crossover, Perceptive Advisors, RTW Investments, Foresite Capital","Redmile Group, The Column Group",,https://www.linkedin.com/company/rapt,101-250,"$250,000,000","Mar 4, 2015"
Hershey,https://www.crunchbase.com/organization/the-hershey-company,"Oct 21, 2025","$4,625,000,000",Not Started,"Confectionery, Food and Beverage, Manufacturing, Service Industry, Snack Food","Hershey, Pennsylvania, United States","Hershey is a global confectionery that provides chocolates, sweets, mints, and other snacks around the world.","10,309",http://thehersheycompany.com/,$10B+,—,—,https://x.com/hersheys,http://www.linkedin.com/company/the-hershey-company,10001+,"$1,875,000,000",1894
Kard,https://www.crunchbase.com/organization/kard,"Oct 21, 2025","$39,320,000",Not Started,"Advertising Platforms, Financial Services, FinTech, Loyalty Programs","New York, New York, United States",Kard is a rewards-as-a-service API that enhances customer loyalty programs.,"10,461",http://www.getkard.com/,$1M to $10M,"Bill Gray, Techstars, Tiger Global Management, Fin Capital, Pathlight Ventures","Techstars, Tiger Global Management, Trinity Capital",,https://www.linkedin.com/company/kard-financial,51-100,"$15,000,000",2016
Deepstash,https://www.crunchbase.com/organization/deepstash,"Oct 21, 2025","$12,859,019",Not Started,"Apps, Content, Content Discovery, EdTech, Education, E-Learning, Mobile Apps, Reading Apps, Social Network","Newark, Delaware, United States","Deepstash is an app that offers the daily source of inspiring, life-changing stories, and ideas.","10,555",https://deepstash.com/,$1M to $10M,"PvX Partners, Google for Startups, GapMinder VC, cultivate(MD), Connect Ventures","Connect Ventures, cultivate(MD), GapMinder VC, Google for Startups, PvX Partners",https://x.com/deepstash,https://www.linkedin.com/company/deepstash,11-50,"$9,000,000",2019
Hologic,https://www.crunchbase.com/organization/hologic,"Oct 21, 2025","$2,869,000,000",Not Started,"Biotechnology, Health Care, Health Diagnostics, Women's","Marlborough, Massachusetts, United States","Hologic is a medical technology company that develops systems for detecting, diagnosing, and treating health conditions in women's health.","12,385",http://www.hologic.com/,$1B to $10B,"TPG, Ascent Venture Partners",—,https://x.com/hologic,http://www.linkedin.com/company/hologic,5001-10000,—,1985
Vertero,https://www.crunchbase.com/organization/axial-biotherapeutics,"Oct 21, 2025","$130,900,000",Not Started,"Biopharma, Biotechnology, Medical, Pharmaceutical","Woburn, Massachusetts, United States",Vertero Therapeutics is using cutting-edge research outside of the brain to treat neurodegenerative illnesses.,"12,441",https://vertero.com/,$1M to $10M,"Seventure Partners, Longwood Fund, Taiho Ventures, Autism Impact Fund, OneVentures","Domain Associates, Longwood Fund, OneVentures, Taiho Ventures, UTokyo Innovation Platform",,https://www.linkedin.com/company/vertero-tx/,11-50,"$20,000,000",2016
Streetbeat,https://www.crunchbase.com/organization/streetbeat,"Oct 21, 2025","$53,285,000",Not Started,"Artificial Intelligence (AI), Big Data, CRM, FinTech, Generative AI, Trading Platform, Wealth Management","Palo Alto, California, United States",Streetbeat is a B2B AI platform serving wealth managers and brokers to revenues through automation.,"13,142",https://streetbeat.com/,$1M to $10M,"CDP Venture Capital, TTV Capital, P101, Monte Carlo Capital, AAF Management Ltd.","3Lines, CDP Venture Capital, TTV Capital",,https://www.linkedin.com/company/streetbeat-com,11-50,"$15,000,000",2021
PleoPharma,https://www.crunchbase.com/organization/pleopharma,"Oct 21, 2025","$47,122,252",Not Started,"Health Care, Medical, Pharmaceutical, Therapeutics","Phoenixville, Pennsylvania, United States",PleoPharma is a pharmaceutical company that focuses on finding treatments for cannabis related health issues.,"13,191",https://www.pleopharma.com/,$1M to $10M,—,—,,https://www.linkedin.com/company/pleopharma,11-50,"$36,000,000",2019
Allora Labs,https://www.crunchbase.com/organization/upshot-d781,"Oct 21, 2025","$68,509,998",Not Started,"Blockchain, Cryptocurrency, Information Technology, Software","Boston, Massachusetts, United States",Allora Labs is a blockchain-based protocol that incentivizes experts to answer subjective questions honestly.,"13,677",https://www.alloralabs.xyz/,$1M to $10M,"Slow Ventures, Blockchain Capital, Archetype, Framework Ventures, Polychain","Blockchain Capital, CoinFund, Framework Ventures, Polychain",https://x.com/UpshotHQ,https://www.linkedin.com/company/allora-labs-hq,11-50,"$35,000,000",2019
Tensec,https://www.crunchbase.com/organization/tensec-4a86,"Oct 21, 2025","$72,000,000",Not Started,"Banking, Financial Services, FinTech, Foreign Exchange Trading","Palo Alto, California, United States",Cross-Border B2B Payments and Global Transaction Banking for SMBs,"14,258",https://www.tensec.io/,—,"Quiet Capital, Costanoa Ventures, Endeavor, Renegade Partners, Montage Ventures","Costanoa Ventures, Upper90",,https://www.linkedin.com/company/tensec/,11-50,"$60,000,000",Aug 2023
Bronto,https://www.crunchbase.com/organization/bronto-8713,"Oct 21, 2025","$14,000,000",Not Started,—,"Dublin, Dublin, Ireland","Bronto provides a unified AI-era log management platform that enables enterprises to ingest, search, and analyse logs at scale.","14,313",https://www.bronto.io/,—,"Heavybit, Cercano Management, Conviction VC",Cercano Management,,https://www.linkedin.com/company/brontohq/,11-50,"$14,000,000",2024
RIVANNA,https://www.crunchbase.com/organization/rivanna-medical,"Oct 21, 2025","$55,471,233",Not Started,"Biotechnology, Commercial, Health Care, Information Technology, Medical, Medical Device","Crozet, Virginia, United States",RIVANNA commercializes ultrasound technologies that reduce the patient risk caused by radiation from X-ray-based medical imaging.,"15,636",http://www.rivannamedical.com/,$1M to $10M,"National Science Foundation, National Institutes of Health, National Cancer Institute, Biomedical Advanced Research and Development Authority (BARDA), Congressionally Directed Medical Research Programs","Biomedical Advanced Research and Development Authority (BARDA), Center for Innovative Technology, Congressionally Directed Medical Research Programs, National Cancer Institute, National Institutes of Health, National Science Foundation, Virginia Catalyst",https://x.com/RivannaMedical,http://www.linkedin.com/company/rivanna-medical,11-50,"$3,000,000",2010
Defakto Security,https://www.crunchbase.com/organization/defakto-security,"Oct 21, 2025","$30,750,000",Not Started,—,"Palo Alto, California, United States","Defakto Security manages and secures non-human identities for workloads, APIs, services, and AI agents using dynamic credentials.","16,006",https://www.defakto.security/,—,"JP Morgan, XYZ Venture Capital, Bloomberg Beta, WndrCo, The General Partnership",XYZ Venture Capital,https://x.com/defaktosecurity,https://www.linkedin.com/company/defaktosecurity/,11-50,"$30,750,000","Sep 9, 2022"
Volvo Group,https://www.crunchbase.com/organization/ab-volvo,"Oct 21, 2025","$61,104,742",Not Started,"Automotive, Industrial, Manufacturing, Transportation","Gothenburg, Vastra Gotaland, Sweden","Volvo Group is a manufacturer of trucks, buses, construction equipment, and marine and industrial engines.","16,339",http://www.volvogroup.com/,$10B+,"NYSERDA, Industrivaerden","Industrivaerden, NYSERDA",https://x.com/volvogroup,http://www.linkedin.com/company/volvo-group,10001+,"SEK482,000,000",1927
Dracula Technologies,https://www.crunchbase.com/organization/dracula-technologies,"Oct 21, 2025","€37,122,881",Not Started,"Information Services, Technical Support","Valence, Ile-de-France, France",At Dracula technologies we have invented a sustainable source of energy that turns ambient light into electricity for low power devices,"17,088",http://www.dracula-technologies.com/,$1M to $10M,"European Innovation Council, European Innovation Council Fund, Banque des Territoires, MGI Digital Technology","Banque des Territoires, European Innovation Council",https://x.com/draculatech,https://www.linkedin.com/company/dracula-technologies,11-50,"€30,000,000",2012
etalytics,https://www.crunchbase.com/organization/etalytics,"Oct 21, 2025","€16,000,000",Not Started,"Artificial Intelligence (AI), Consulting, Software","Darmstadt, Hessen, Germany","etalytics offers data-driven energy intelligence solutions using AI. With etaONE®, industries analyze and optimize their energy systems.","17,108",https://etalytics.com/,$10M to $50M,"Alstin Capital, M12 - Microsoft's Venture Fund, BM H Beteiligungs-Managementgesellschaft Hessen, Xantaro, Ebm papst","Alstin Capital, BM H Beteiligungs-Managementgesellschaft Hessen, Ebm papst, M12 - Microsoft's Venture Fund",https://x.com/etalytics/,https://www.linkedin.com/company/etalytics/,51-100,"€8,000,000",2020
Shopware,https://www.crunchbase.com/organization/shopware-2,"Oct 21, 2025","$100,000,000",Not Started,"E-Commerce, E-Commerce Platforms, Open Source, Software","Schöppingen, Nordrhein-Westfalen, Germany",Shopware is an open-source platform that provides B2B and B2C commerce software with full code access and architecture flexibility.,"17,123",https://www.shopware.com/,$10M to $50M,"PayPal, The Carlyle Group","PayPal, The Carlyle Group",https://x.com/shopware_ag,https://www.linkedin.com/company/shopware-ag,251-500,—,"Aug 20, 2008"
Hostelworld,https://www.crunchbase.com/organization/hostelworld,"Oct 21, 2025","€10,320,000",Not Started,"Travel, Travel Agency","Birmingham, Birmingham, United Kingdom",Hostelworld is an online travel agent (OTA) focused on the hostel market.,"19,128",https://www.hostelworldgroup.com/,$50M to $100M,Allied Irish Banks,Allied Irish Banks,https://x.com/Hostelworldplc,https://www.linkedin.com/company/hostelworld-com,251-500,"€10,320,000",1999
Driven Brands,https://www.crunchbase.com/organization/driven-brands,"Oct 21, 2025","$1,140,000,000",Not Started,"Automotive, Marketing, Market Research","Charlotte, North Carolina, United States",Driven Brands is a automotive aftermarket franchising platform whose brands include Meineke and Maaco.,"19,826",http://www.drivenbrands.com/,$1B to $10B,Carousel Capital,—,,https://www.linkedin.com/company/driven-brands-inc-,5001-10000,"$500,000,000",2006
Gravwell,https://www.crunchbase.com/organization/gravwell,"Oct 21, 2025","$18,400,000",Not Started,"Analytics, Cyber Security, Information Technology, SaaS, Security","Coeur D'alene, Idaho, United States",Full stack data analytics platform,"19,883",https://www.gravwell.io/,$1M to $10M,"Kickstart, Two Bear Capital, NEXT Frontier Capital, Revolution’s Rise of the Rest Seed Fund, Gula Tech Adventures","Gula Tech Adventures, NEXT Frontier Capital, Two Bear Capital",https://x.com/gravwell_io,https://www.linkedin.com/company/gravwell/,11-50,"$15,400,000","Mar 16, 2017"
roclub,https://www.crunchbase.com/organization/roclub,"Oct 21, 2025","$19,651,099",Not Started,"Health Care, Health Diagnostics, Medical","Berlin, Berlin, Germany","roclub provides a teleoperation platform for MedTech, enabling remote MRI/CT scans and support for radiographers.","20,515",https://roclub.com/,$1M to $10M,"Speedinvest, YZR Capital, FJ Labs, Smedvig Ventures, better ventures","FJ Labs, Smedvig Ventures, Speedinvest, YZR Capital",,http://www.linkedin.com/company/roclub,11-50,"$11,700,000",2022
Throne Labs,https://www.crunchbase.com/organization/throne-labs,"Oct 21, 2025","$30,749,517",Not Started,"Apps, Service Industry, Software","Charlottesville, Virginia, United States",Throne Labs expands clean restroom access through a proprietary network of cloud-based public bathrooms powered by data-driven servicing.,"21,643",https://www.thronelabs.co/,—,"Brentwood Associates, Dipalo Ventures, Uncorrelated Ventures, Rabil Ventures, arpinine",Brentwood Associates,https://x.com/ThroneBathrooms,https://www.linkedin.com/company/throne-labs/,1-10,"$8,863,018",2020
UrgentIQ,https://www.crunchbase.com/organization/urgentiq,"Oct 21, 2025","$9,450,000",Not Started,"Health Care, Medical, Software","New York, New York, United States","UrgentIQ is a medtech company that offers patient engagement, electronic medical records, and practice management solutions.","21,822",https://urgentiq.com/,—,—,—,,https://www.linkedin.com/company/urgentiq,1-10,"$4,950,000",2022
General Index,https://www.crunchbase.com/organization/general-index,"Oct 21, 2025","$31,083,468",Not Started,"Energy, Information Services, Oil and Gas","London, England, United Kingdom",Commodity prices based on the most data,"22,262",http://www.general-index.com/,$10M to $50M,"The Twenty Minute VC, Molten Ventures, Chalfen Ventures","Chalfen Ventures, Molten Ventures, The Twenty Minute VC",,https://www.linkedin.com/company/generalindex/,51-100,"$10,000,000",2020
NPower,https://www.crunchbase.com/organization/npower,"Oct 21, 2025","$17,024,830",Not Started,"Charter Schools, Communities, Non Profit","Brooklyn, New York, United States","NPower mobilizes tech community to provide individuals, nonprofits and schools.","22,420",http://www.npower.org/,$10M to $50M,"Google.org, AT&T, Northrop Grumman, Pluralsight, Truist Foundation","Ascendium Education Group, AT&T, Bob Woodruff Foundation, Citi Foundation, Cybersecurity and Infrastructure Security Agency, Employment Development Department, Google.org, Gula Tech Adventures, Kyndryl Foundation, MetLife Foundation, National Institute of Standards and Technology, Northrop Grumman, Office of Texas Governor, Patrick J. McGovern Foundation, Pluralsight, Pluralsight One, Truist Foundation, U.S. Department of Labor",https://x.com/npowerorg,https://www.linkedin.com/company/npower-ny,101-250,"$500,000",2001
AcoruAI,https://www.crunchbase.com/organization/acoru,"Oct 21, 2025","€14,000,000",Not Started,"Cyber Security, Fraud Detection, Generative AI, Identity Management","Madrid, Madrid, Spain",AcoruAI is a cybersecurity company that develops an AI-driven platform that focuses on proactive fraud and scam prevention.,"22,504",https://www.acoru.com/en/,$1M to $10M,"Adara Ventures, 33N Ventures, Athos Capital",33N Ventures,,https://www.linkedin.com/company/acoru,11-50,"€10,000,000",2023
CourtReserve,https://www.crunchbase.com/organization/courtreserve,"Oct 21, 2025","$54,000,000",Not Started,"Management Consulting, Management Information Systems, Software Engineering","Saint Augustine, Florida, United States","CourtReserve is a reservation platform that is flexible and configurable to manage court bookings, events, staff, and members.","23,191",https://courtreserve.com/,$1M to $10M,Mainsail Partners,Mainsail Partners,https://x.com/courtreserve,https://www.linkedin.com/company/courtreserve/,11-50,"$54,000,000",2016
Summit Therapeutics,https://www.crunchbase.com/organization/summit-therapeutics,"Oct 21, 2025","$1,790,943,378",Not Started,"Biotechnology, Health Care, Medical Device, Therapeutics","Abingdon, Oxfordshire, United Kingdom",Summit Therapeutics is a clinical-stage drug discovery and development company.,"23,620",https://www.smmttx.com/,—,"Wellcome Trust, CARB-X, Akeso Biopharma, Eurofarma, Biomedical Advanced Research and Development Authority (BARDA)","Biomedical Advanced Research and Development Authority (BARDA), Biomedical Catalyst Fund, CARB-X, Eurofarma, Robert W. Duggan, Wellcome Trust",https://x.com/Summitplc,https://www.linkedin.com/company/summit-plc/,101-250,"$500,000,000","Jan 1, 2003"
Gesynta Pharma,https://www.crunchbase.com/organization/gesynta-pharma,"Oct 21, 2025","$66,640,665",Not Started,"Biopharma, Health Care, Pharmaceutical","Stockholm, Stockholms Lan, Sweden","Drug candidates with a unique mechanism of action, aiming to reduce inflammation and pain. Vipoglanstat in phase 2 for endometriosis.","24,146",https://www.gesynta.se/,Less than $1M,"Innovestor, Hadean Ventures, XGEN Venture, HealthCap, Amboy Street Ventures","Hadean Ventures, Industrifonden, Innovestor",,https://www.linkedin.com/company/gesynta-pharma-ab/,1-10,"SEK43,000,000",2017
Syntracts,https://www.crunchbase.com/organization/syntracts,"Oct 21, 2025","$6,705,981",Not Started,"Artificial Intelligence (AI), Knowledge Management, Legal, Legal Tech, Machine Learning, Software","Washington, District of Columbia, United States",Syntracts securely converts complex contracts into structured insights using privacy-first AI.,"24,447",https://www.syntracts.com/,—,"Khosla Ventures, Myriad Venture Partners, Point72 Ventures, Hyperplane, Fortitude Ventures",Hyperplane,,https://www.linkedin.com/company/syntract/,11-50,"$6,705,981","Jan 5, 2022"
Yaga,https://www.crunchbase.com/organization/yaga-sa,"Oct 21, 2025","€6,200,000",Not Started,"E-Commerce, Fashion, Online Portals","Tallinn, Harjumaa, Estonia","Yaga is an e-commerce site that provides t-shirts, clothing, books, magazines, and accessories for men, and women.","24,989",https://www.yaga.co.za/,$1M to $10M,"Specialist VC, Startup Wise Guys, Trind Ventures, Markus Villig, RubyLight","Specialist VC, Startup Wise Guys",,https://www.linkedin.com/company/shopyaga,11-50,"€4,000,000",2017
Anchor,https://www.crunchbase.com/organization/anchor-48ce,"Oct 21, 2025","$6,000,000",Not Started,"Agentic AI, Artificial Intelligence (AI), SaaS","New York, New York, United States",Anchor develops AI agents for performing organizational operations at scale in an internet environment.,"25,579",https://anchorbrowser.org/,—,"Blumberg Capital, Gradient, Colin Evans","Blumberg Capital, Gradient",https://x.com/AnchorBrowser,https://www.linkedin.com/company/anchorbrowser/,1-10,"$6,000,000",2024
MATR Foods,https://www.crunchbase.com/organization/matr-foods,"Oct 21, 2025","€42,300,000",Not Started,"Food and Beverage, Food Processing, Organic Food","Copenhagen, Hovedstaden, Denmark",MATR Foods is a food-tech startup that provides fungi-based food ingredients.,"25,905",https://matrfoods.com/en/,$10M to $50M,"European Investment Bank, BioInnovation Institute, Novo Holdings, Export and Investment Fund, EIT Food","BioInnovation Institute, EIT Food, European Investment Bank, Export and Investment Fund, Novo Holdings",,https://www.linkedin.com/company/matrfoods,11-50,"€20,000,000",2021
Exeliom,https://www.crunchbase.com/organization/nextbiotix,"Oct 21, 2025","€25,150,000",Not Started,"Biopharma, Biotechnology, Health Care, Pharmaceutical","Dijon, Bourgogne, France",Exeliom is a clinical-stage biopharmaceutical company tackling the use of commensal bacteria as drugs.,"26,010",https://www.exeliombio.com/,—,"Bpifrance, European Innovation Council, Forepont Capital Partners, CE-Ventures, UI Investissement","Auriga Partners, Biocodex, Bpifrance, CE-Ventures, European Innovation Council",,https://www.linkedin.com/company/nextbiotix/,1-10,"€2,850,000",2016
GSI Technology,https://www.crunchbase.com/organization/gsi,"Oct 21, 2025","$51,100,000",Not Started,"Information Technology, Manufacturing, Semiconductor","Sunnyvale, California, United States",GSI Technology offers both Static Random Access Memory products (SRAMs) and Low Latency DRAM products (LLDRAM).,"32,206",http://www.gsitechnology.com/,$10M to $50M,Small Business Innovation Research,Small Business Innovation Research,https://x.com/gsitechnology,http://www.linkedin.com/company/gsi-technology,101-250,"$50,000,000",1995
Enpal,https://www.crunchbase.com/organization/enpal,"Oct 21, 2025","€4,185,000,000",Not Started,"Energy, Environmental Consulting, Renewable Energy, Solar","Berlin, Berlin, Germany",Enpal is a photovoltaics leasing firm that provides solar power systems for homeowners.,"35,760",https://www.enpal.de/,$100M to $500M,"European Investment Bank, TPG, BlackRock, Citi, HV Capital","Activate Capital Partners, Berliner Volksbank, David Schneider, European Investment Bank, European Investment Fund, HV Capital, Picus Capital, Prime Capital AG, Princeville Capital, Robert Gentz, Rubin Ritter, SoftBank Vision Fund, The Westly Group, TPG",https://x.com/enpal_de,https://www.linkedin.com/company/enpal-gmbh,1001-5000,"€700,000,000",Feb 2017
Viridian Therapeutics (formerly miRagen Therapeutics),https://www.crunchbase.com/organization/viridian-therapeutics-inc,"Oct 21, 2025","$1,250,697,328",Not Started,"Biotechnology, Genetics, Health Care, Therapeutics","Waltham, Massachusetts, United States",Viridian Therapeutics is a biotechnology company that offers treatments for patients suffering from diseases.,"39,965",https://www.viridiantherapeutics.com/,$100M to $500M,"Fidelity, Hercules Capital, Boulder Ventures, Atlas Venture, MRL Ventures Fund","Atlas Venture, Boulder Ventures, DRI Healthcare, Hercules Capital, JAFCO, MRL Ventures Fund, Remeditex Ventures",https://x.com/ViridianThera,https://www.linkedin.com/company/viridiantx,101-250,"$289,000,000",2007
Aveanna Healthcare,https://www.crunchbase.com/organization/aveanna-healthcare,"Oct 21, 2025","$1,490,000,000",Not Started,"Health Care, Hospital, Nursing and Residential Care","Atlanta, Georgia, United States",Aveanna Healthcare is a home healthcare provider.,"62,589",https://www.aveanna.com/,$1B to $10B,"Bain Capital Private Equity, Penfund",Penfund,https://x.com/aveannacareers,https://in.linkedin.com/company/aveanna-healthcare,10001+,"$90,000,000",2017
